"geoid","geolevel","year","level","value"
"02013","county",2019,"employment_score",90.23
"02016","county",2019,"employment_score",146.03
"02020","county",2019,"employment_score",117.4
"02050","county",2019,"employment_score",49.58
"02060","county",2019,"employment_score",112.48
"02068","county",2019,"employment_score",NA
"02070","county",2019,"employment_score",63.03
"02090","county",2019,"employment_score",108.62
"02100","county",2019,"employment_score",117.55
"02105","county",2019,"employment_score",77.57
"02110","county",2019,"employment_score",121.99
"02122","county",2019,"employment_score",93
"02130","county",2019,"employment_score",108.77
"02150","county",2019,"employment_score",103.76
"02158","county",2019,"employment_score",18.24
"02164","county",2019,"employment_score",96.65
"02170","county",2019,"employment_score",92.38
"02180","county",2019,"employment_score",62.04
"02185","county",2019,"employment_score",148.46
"02188","county",2019,"employment_score",58.42
"02195","county",2019,"employment_score",93.58
"02198","county",2019,"employment_score",74.12
"02220","county",2019,"employment_score",106.81
"02230","county",2019,"employment_score",95.21
"02240","county",2019,"employment_score",83.11
"02261","county",2019,"employment_score",113.01
"02275","county",2019,"employment_score",80.5
"02282","county",2019,"employment_score",127.58
"02290","county",2019,"employment_score",46.68
"02013","county",2019,"employment_rnk",29.7315
"02016","county",2019,"employment_rnk",98.7532
"02020","county",2019,"employment_rnk",81.1701
"02050","county",2019,"employment_rnk",0.8312
"02060","county",2019,"employment_rnk",74.0729
"02068","county",2019,"employment_rnk",NA
"02070","county",2019,"employment_rnk",3.4527
"02090","county",2019,"employment_rnk",67.5192
"02100","county",2019,"employment_rnk",81.5857
"02105","county",2019,"employment_rnk",12.9476
"02110","county",2019,"employment_rnk",86.9885
"02122","county",2019,"employment_rnk",34.8465
"02130","county",2019,"employment_rnk",67.7749
"02150","county",2019,"employment_rnk",57.8964
"02158","county",2019,"employment_rnk",0
"02164","county",2019,"employment_rnk",42.711
"02170","county",2019,"employment_rnk",33.9834
"02180","county",2019,"employment_rnk",3.165
"02185","county",2019,"employment_rnk",99.0729
"02188","county",2019,"employment_rnk",2.046
"02195","county",2019,"employment_rnk",35.9655
"02198","county",2019,"employment_rnk",9.399
"02220","county",2019,"employment_rnk",64.0026
"02230","county",2019,"employment_rnk",39.4821
"02240","county",2019,"employment_rnk",18.9578
"02261","county",2019,"employment_rnk",74.7762
"02275","county",2019,"employment_rnk",15.9847
"02282","county",2019,"employment_rnk",92.4872
"02290","county",2019,"employment_rnk",0.6074
"02013","county",2019,"employment_state_rnk",37.037
"02016","county",2019,"employment_state_rnk",96.2963
"02020","county",2019,"employment_state_rnk",81.4815
"02050","county",2019,"employment_state_rnk",7.4074
"02060","county",2019,"employment_state_rnk",74.0741
"02068","county",2019,"employment_state_rnk",NA
"02070","county",2019,"employment_state_rnk",18.5185
"02090","county",2019,"employment_state_rnk",66.6667
"02100","county",2019,"employment_state_rnk",85.1852
"02105","county",2019,"employment_state_rnk",25.9259
"02110","county",2019,"employment_state_rnk",88.8889
"02122","county",2019,"employment_state_rnk",44.4444
"02130","county",2019,"employment_state_rnk",70.3704
"02150","county",2019,"employment_state_rnk",59.2593
"02158","county",2019,"employment_state_rnk",0
"02164","county",2019,"employment_state_rnk",55.5556
"02170","county",2019,"employment_state_rnk",40.7407
"02180","county",2019,"employment_state_rnk",14.8148
"02185","county",2019,"employment_state_rnk",100
"02188","county",2019,"employment_state_rnk",11.1111
"02195","county",2019,"employment_state_rnk",48.1481
"02198","county",2019,"employment_state_rnk",22.2222
"02220","county",2019,"employment_state_rnk",62.963
"02230","county",2019,"employment_state_rnk",51.8519
"02240","county",2019,"employment_state_rnk",33.3333
"02261","county",2019,"employment_state_rnk",77.7778
"02275","county",2019,"employment_state_rnk",29.6296
"02282","county",2019,"employment_state_rnk",92.5926
"02290","county",2019,"employment_state_rnk",3.7037
