"geoid","geolevel","year","level","value"
"05001","county",2019,"employment_score",97.18
"05003","county",2019,"employment_score",87.27
"05005","county",2019,"employment_score",85.34
"05007","county",2019,"employment_score",126.73
"05009","county",2019,"employment_score",88.52
"05011","county",2019,"employment_score",80.5
"05013","county",2019,"employment_score",97.4
"05015","county",2019,"employment_score",89.83
"05017","county",2019,"employment_score",59.26
"05019","county",2019,"employment_score",81.21
"05021","county",2019,"employment_score",79.71
"05023","county",2019,"employment_score",90.97
"05025","county",2019,"employment_score",95.13
"05027","county",2019,"employment_score",68.91
"05029","county",2019,"employment_score",92.41
"05031","county",2019,"employment_score",95.65
"05033","county",2019,"employment_score",98.74
"05035","county",2019,"employment_score",97.02
"05037","county",2019,"employment_score",107.88
"05039","county",2019,"employment_score",84.49
"05041","county",2019,"employment_score",75.97
"05043","county",2019,"employment_score",94.85
"05045","county",2019,"employment_score",105.47
"05047","county",2019,"employment_score",88.03
"05049","county",2019,"employment_score",68.35
"05051","county",2019,"employment_score",86.97
"05053","county",2019,"employment_score",106.62
"05055","county",2019,"employment_score",94.55
"05057","county",2019,"employment_score",94.84
"05059","county",2019,"employment_score",80.2
"05061","county",2019,"employment_score",86.85
"05063","county",2019,"employment_score",93.45
"05065","county",2019,"employment_score",79.16
"05067","county",2019,"employment_score",70.25
"05069","county",2019,"employment_score",79.77
"05071","county",2019,"employment_score",85.86
"05073","county",2019,"employment_score",75.48
"05075","county",2019,"employment_score",85.66
"05077","county",2019,"employment_score",57.11
"05079","county",2019,"employment_score",NA
"05081","county",2019,"employment_score",91.81
"05083","county",2019,"employment_score",84.64
"05085","county",2019,"employment_score",111.71
"05087","county",2019,"employment_score",90.67
"05089","county",2019,"employment_score",74.95
"05091","county",2019,"employment_score",88.57
"05093","county",2019,"employment_score",82.77
"05095","county",2019,"employment_score",81.65
"05097","county",2019,"employment_score",77.45
"05099","county",2019,"employment_score",86.33
"05101","county",2019,"employment_score",78.06
"05103","county",2019,"employment_score",84.66
"05105","county",2019,"employment_score",96.55
"05107","county",2019,"employment_score",67.89
"05109","county",2019,"employment_score",81.72
"05111","county",2019,"employment_score",87.66
"05113","county",2019,"employment_score",64.64
"05115","county",2019,"employment_score",86.88
"05117","county",2019,"employment_score",106.42
"05119","county",2019,"employment_score",106.19
"05121","county",2019,"employment_score",87.21
"05123","county",2019,"employment_score",79.12
"05125","county",2019,"employment_score",119.03
"05127","county",2019,"employment_score",66.85
"05129","county",2019,"employment_score",74.04
"05131","county",2019,"employment_score",93.52
"05133","county",2019,"employment_score",92.26
"05135","county",2019,"employment_score",72.98
"05137","county",2019,"employment_score",67.22
"05139","county",2019,"employment_score",90.5
"05141","county",2019,"employment_score",67.29
"05143","county",2019,"employment_score",104.98
"05145","county",2019,"employment_score",95.85
"05147","county",2019,"employment_score",94.8
"05149","county",2019,"employment_score",95.85
"05001","county",2019,"employment_rnk",43.734
"05003","county",2019,"employment_rnk",24.968
"05005","county",2019,"employment_rnk",22.1228
"05007","county",2019,"employment_rnk",91.7519
"05009","county",2019,"employment_rnk",27.2059
"05011","county",2019,"employment_rnk",15.9847
"05013","county",2019,"employment_rnk",44.4373
"05015","county",2019,"employment_rnk",29.2519
"05017","county",2019,"employment_rnk",2.3018
"05019","county",2019,"employment_rnk",16.7839
"05021","county",2019,"employment_rnk",15.1854
"05023","county",2019,"employment_rnk",31.234
"05025","county",2019,"employment_rnk",39.2263
"05027","county",2019,"employment_rnk",5.9143
"05029","county",2019,"employment_rnk",34.1113
"05031","county",2019,"employment_rnk",40.5371
"05033","county",2019,"employment_rnk",46.5793
"05035","county",2019,"employment_rnk",43.4783
"05037","county",2019,"employment_rnk",66.0486
"05039","county",2019,"employment_rnk",20.7801
"05041","county",2019,"employment_rnk",11.1253
"05043","county",2019,"employment_rnk",38.6829
"05045","county",2019,"employment_rnk",61.3491
"05047","county",2019,"employment_rnk",26.087
"05049","county",2019,"employment_rnk",5.4668
"05051","county",2019,"employment_rnk",24.5205
"05053","county",2019,"employment_rnk",63.7148
"05055","county",2019,"employment_rnk",37.9156
"05057","county",2019,"employment_rnk",38.6509
"05059","county",2019,"employment_rnk",15.665
"05061","county",2019,"employment_rnk",24.2967
"05063","county",2019,"employment_rnk",35.7097
"05065","county",2019,"employment_rnk",14.6419
"05067","county",2019,"employment_rnk",6.5537
"05069","county",2019,"employment_rnk",15.2174
"05071","county",2019,"employment_rnk",22.8261
"05073","county",2019,"employment_rnk",10.7417
"05075","county",2019,"employment_rnk",22.5064
"05077","county",2019,"employment_rnk",1.9821
"05079","county",2019,"employment_rnk",NA
"05081","county",2019,"employment_rnk",32.7685
"05083","county",2019,"employment_rnk",21.0678
"05085","county",2019,"employment_rnk",72.6343
"05087","county",2019,"employment_rnk",30.7545
"05089","county",2019,"employment_rnk",10.0703
"05091","county",2019,"employment_rnk",27.2698
"05093","county",2019,"employment_rnk",18.3824
"05095","county",2019,"employment_rnk",17.1675
"05097","county",2019,"employment_rnk",12.7877
"05099","county",2019,"employment_rnk",23.4974
"05101","county",2019,"employment_rnk",13.3951
"05103","county",2019,"employment_rnk",21.0997
"05105","county",2019,"employment_rnk",42.5512
"05107","county",2019,"employment_rnk",5.243
"05109","county",2019,"employment_rnk",17.2954
"05111","county",2019,"employment_rnk",25.5435
"05113","county",2019,"employment_rnk",3.9642
"05115","county",2019,"employment_rnk",24.3926
"05117","county",2019,"employment_rnk",63.4591
"05119","county",2019,"employment_rnk",62.8517
"05121","county",2019,"employment_rnk",24.8721
"05123","county",2019,"employment_rnk",14.546
"05125","county",2019,"employment_rnk",83.4399
"05127","county",2019,"employment_rnk",4.7634
"05129","county",2019,"employment_rnk",9.3031
"05131","county",2019,"employment_rnk",35.8696
"05133","county",2019,"employment_rnk",33.6317
"05135","county",2019,"employment_rnk",8.2481
"05137","county",2019,"employment_rnk",5.0192
"05139","county",2019,"employment_rnk",30.2749
"05141","county",2019,"employment_rnk",5.0831
"05143","county",2019,"employment_rnk",60.3581
"05145","county",2019,"employment_rnk",41.0166
"05147","county",2019,"employment_rnk",38.491
"05149","county",2019,"employment_rnk",41.0166
"05001","county",2019,"employment_state_rnk",84.9315
"05003","county",2019,"employment_state_rnk",52.0548
"05005","county",2019,"employment_state_rnk",41.0959
"05007","county",2019,"employment_state_rnk",100
"05009","county",2019,"employment_state_rnk",56.1644
"05011","county",2019,"employment_state_rnk",30.137
"05013","county",2019,"employment_state_rnk",86.3014
"05015","county",2019,"employment_state_rnk",58.9041
"05017","county",2019,"employment_state_rnk",1.3699
"05019","county",2019,"employment_state_rnk",31.5068
"05021","county",2019,"employment_state_rnk",26.0274
"05023","county",2019,"employment_state_rnk",63.0137
"05025","county",2019,"employment_state_rnk",76.7123
"05027","county",2019,"employment_state_rnk",10.9589
"05029","county",2019,"employment_state_rnk",67.1233
"05031","county",2019,"employment_state_rnk",78.0822
"05033","county",2019,"employment_state_rnk",87.6712
"05035","county",2019,"employment_state_rnk",83.5616
"05037","county",2019,"employment_state_rnk",95.8904
"05039","county",2019,"employment_state_rnk",36.9863
"05041","county",2019,"employment_state_rnk",19.1781
"05043","county",2019,"employment_state_rnk",75.3425
"05045","county",2019,"employment_state_rnk",90.411
"05047","county",2019,"employment_state_rnk",54.7945
"05049","county",2019,"employment_state_rnk",9.589
"05051","county",2019,"employment_state_rnk",49.3151
"05053","county",2019,"employment_state_rnk",94.5205
"05055","county",2019,"employment_state_rnk",71.2329
"05057","county",2019,"employment_state_rnk",73.9726
"05059","county",2019,"employment_state_rnk",28.7671
"05061","county",2019,"employment_state_rnk",46.5753
"05063","county",2019,"employment_state_rnk",68.4932
"05065","county",2019,"employment_state_rnk",24.6575
"05067","county",2019,"employment_state_rnk",12.3288
"05069","county",2019,"employment_state_rnk",27.3973
"05071","county",2019,"employment_state_rnk",43.8356
"05073","county",2019,"employment_state_rnk",17.8082
"05075","county",2019,"employment_state_rnk",42.4658
"05077","county",2019,"employment_state_rnk",0
"05079","county",2019,"employment_state_rnk",NA
"05081","county",2019,"employment_state_rnk",64.3836
"05083","county",2019,"employment_state_rnk",38.3562
"05085","county",2019,"employment_state_rnk",97.2603
"05087","county",2019,"employment_state_rnk",61.6438
"05089","county",2019,"employment_state_rnk",16.4384
"05091","county",2019,"employment_state_rnk",57.5342
"05093","county",2019,"employment_state_rnk",35.6164
"05095","county",2019,"employment_state_rnk",32.8767
"05097","county",2019,"employment_state_rnk",20.5479
"05099","county",2019,"employment_state_rnk",45.2055
"05101","county",2019,"employment_state_rnk",21.9178
"05103","county",2019,"employment_state_rnk",39.726
"05105","county",2019,"employment_state_rnk",82.1918
"05107","county",2019,"employment_state_rnk",8.2192
"05109","county",2019,"employment_state_rnk",34.2466
"05111","county",2019,"employment_state_rnk",53.4247
"05113","county",2019,"employment_state_rnk",2.7397
"05115","county",2019,"employment_state_rnk",47.9452
"05117","county",2019,"employment_state_rnk",93.1507
"05119","county",2019,"employment_state_rnk",91.7808
"05121","county",2019,"employment_state_rnk",50.6849
"05123","county",2019,"employment_state_rnk",23.2877
"05125","county",2019,"employment_state_rnk",98.6301
"05127","county",2019,"employment_state_rnk",4.1096
"05129","county",2019,"employment_state_rnk",15.0685
"05131","county",2019,"employment_state_rnk",69.863
"05133","county",2019,"employment_state_rnk",65.7534
"05135","county",2019,"employment_state_rnk",13.6986
"05137","county",2019,"employment_state_rnk",5.4795
"05139","county",2019,"employment_state_rnk",60.274
"05141","county",2019,"employment_state_rnk",6.8493
"05143","county",2019,"employment_state_rnk",89.0411
"05145","county",2019,"employment_state_rnk",80.137
"05147","county",2019,"employment_state_rnk",72.6027
"05149","county",2019,"employment_state_rnk",80.137
