"geoid","geolevel","year","level","value"
"31001","county",2019,"employment_score",108.71
"31003","county",2019,"employment_score",111.67
"31005","county",2019,"employment_score",110.11
"31007","county",2019,"employment_score",128.78
"31009","county",2019,"employment_score",118.3
"31011","county",2019,"employment_score",123.7
"31013","county",2019,"employment_score",100.07
"31015","county",2019,"employment_score",102.5
"31017","county",2019,"employment_score",103.36
"31019","county",2019,"employment_score",112.32
"31021","county",2019,"employment_score",107.43
"31023","county",2019,"employment_score",126.83
"31025","county",2019,"employment_score",129.08
"31027","county",2019,"employment_score",125.59
"31029","county",2019,"employment_score",115.59
"31031","county",2019,"employment_score",121.41
"31033","county",2019,"employment_score",123.41
"31035","county",2019,"employment_score",110.63
"31037","county",2019,"employment_score",120.03
"31039","county",2019,"employment_score",125.64
"31041","county",2019,"employment_score",112.37
"31043","county",2019,"employment_score",113.19
"31045","county",2019,"employment_score",92.11
"31047","county",2019,"employment_score",115.06
"31049","county",2019,"employment_score",98.73
"31051","county",2019,"employment_score",123.76
"31053","county",2019,"employment_score",108.42
"31055","county",2019,"employment_score",124.16
"31057","county",2019,"employment_score",113.01
"31059","county",2019,"employment_score",122.21
"31061","county",2019,"employment_score",102.58
"31063","county",2019,"employment_score",103.02
"31065","county",2019,"employment_score",112.74
"31067","county",2019,"employment_score",113.03
"31069","county",2019,"employment_score",109.1
"31071","county",2019,"employment_score",115.98
"31073","county",2019,"employment_score",135.59
"31075","county",2019,"employment_score",100.33
"31077","county",2019,"employment_score",107.27
"31079","county",2019,"employment_score",114.02
"31081","county",2019,"employment_score",125.13
"31083","county",2019,"employment_score",118.3
"31085","county",2019,"employment_score",121.55
"31087","county",2019,"employment_score",93.12
"31089","county",2019,"employment_score",122.78
"31091","county",2019,"employment_score",94.87
"31093","county",2019,"employment_score",126.9
"31095","county",2019,"employment_score",110.33
"31097","county",2019,"employment_score",106.14
"31099","county",2019,"employment_score",118.23
"31101","county",2019,"employment_score",107.38
"31103","county",2019,"employment_score",118.92
"31105","county",2019,"employment_score",106.62
"31107","county",2019,"employment_score",112.2
"31109","county",2019,"employment_score",116.43
"31111","county",2019,"employment_score",113.82
"31113","county",2019,"employment_score",94.07
"31115","county",2019,"employment_score",108.85
"31117","county",2019,"employment_score",106.94
"31119","county",2019,"employment_score",115.4
"31121","county",2019,"employment_score",110.14
"31123","county",2019,"employment_score",103.05
"31125","county",2019,"employment_score",116.44
"31127","county",2019,"employment_score",100.65
"31129","county",2019,"employment_score",107.41
"31131","county",2019,"employment_score",121.42
"31133","county",2019,"employment_score",91.36
"31135","county",2019,"employment_score",130.17
"31137","county",2019,"employment_score",128.61
"31139","county",2019,"employment_score",128.1
"31141","county",2019,"employment_score",124.74
"31143","county",2019,"employment_score",113.67
"31145","county",2019,"employment_score",102.03
"31147","county",2019,"employment_score",105.63
"31149","county",2019,"employment_score",110.47
"31151","county",2019,"employment_score",99.71
"31153","county",2019,"employment_score",138.14
"31155","county",2019,"employment_score",131.28
"31157","county",2019,"employment_score",103.91
"31159","county",2019,"employment_score",123.14
"31161","county",2019,"employment_score",101.7
"31163","county",2019,"employment_score",111.77
"31165","county",2019,"employment_score",126.68
"31167","county",2019,"employment_score",127.49
"31169","county",2019,"employment_score",114.12
"31171","county",2019,"employment_score",101.78
"31173","county",2019,"employment_score",80.16
"31175","county",2019,"employment_score",106.47
"31177","county",2019,"employment_score",130.89
"31179","county",2019,"employment_score",103.49
"31181","county",2019,"employment_score",118.06
"31183","county",2019,"employment_score",117.56
"31185","county",2019,"employment_score",111.53
"31001","county",2019,"employment_rnk",67.679
"31003","county",2019,"employment_rnk",72.5703
"31005","county",2019,"employment_rnk",70.2685
"31007","county",2019,"employment_rnk",93.4143
"31009","county",2019,"employment_rnk",82.4808
"31011","county",2019,"employment_rnk",89.1624
"31013","county",2019,"employment_rnk",49.2967
"31015","county",2019,"employment_rnk",55.0831
"31017","county",2019,"employment_rnk",57.0332
"31019","county",2019,"employment_rnk",73.7532
"31021","county",2019,"employment_rnk",65.0895
"31023","county",2019,"employment_rnk",91.8159
"31025","county",2019,"employment_rnk",93.5742
"31027","county",2019,"employment_rnk",90.9527
"31029","county",2019,"employment_rnk",78.8043
"31031","county",2019,"employment_rnk",86.413
"31033","county",2019,"employment_rnk",88.9386
"31035","county",2019,"employment_rnk",71.0358
"31037","county",2019,"employment_rnk",84.4949
"31039","county",2019,"employment_rnk",90.9847
"31041","county",2019,"employment_rnk",73.8171
"31043","county",2019,"employment_rnk",75.0959
"31045","county",2019,"employment_rnk",33.2481
"31047","county",2019,"employment_rnk",78.133
"31049","county",2019,"employment_rnk",46.5473
"31051","county",2019,"employment_rnk",89.2583
"31053","county",2019,"employment_rnk",67.0716
"31055","county",2019,"employment_rnk",89.6739
"31057","county",2019,"employment_rnk",74.7762
"31059","county",2019,"employment_rnk",87.3402
"31061","county",2019,"employment_rnk",55.211
"31063","county",2019,"employment_rnk",56.1061
"31065","county",2019,"employment_rnk",74.3606
"31067","county",2019,"employment_rnk",74.9041
"31069","county",2019,"employment_rnk",68.4463
"31071","county",2019,"employment_rnk",79.3478
"31073","county",2019,"employment_rnk",96.2596
"31075","county",2019,"employment_rnk",49.968
"31077","county",2019,"employment_rnk",64.7379
"31079","county",2019,"employment_rnk",76.6624
"31081","county",2019,"employment_rnk",90.665
"31083","county",2019,"employment_rnk",82.4808
"31085","county",2019,"employment_rnk",86.6049
"31087","county",2019,"employment_rnk",35.1343
"31089","county",2019,"employment_rnk",87.8197
"31091","county",2019,"employment_rnk",38.7468
"31093","county",2019,"employment_rnk",91.9118
"31095","county",2019,"employment_rnk",70.6202
"31097","county",2019,"employment_rnk",62.7238
"31099","county",2019,"employment_rnk",82.3529
"31101","county",2019,"employment_rnk",64.9297
"31103","county",2019,"employment_rnk",83.2481
"31105","county",2019,"employment_rnk",63.7148
"31107","county",2019,"employment_rnk",73.5294
"31109","county",2019,"employment_rnk",80.0192
"31111","county",2019,"employment_rnk",76.1829
"31113","county",2019,"employment_rnk",36.9885
"31115","county",2019,"employment_rnk",67.9348
"31117","county",2019,"employment_rnk",64.2263
"31119","county",2019,"employment_rnk",78.5166
"31121","county",2019,"employment_rnk",70.3964
"31123","county",2019,"employment_rnk",56.1701
"31125","county",2019,"employment_rnk",80.0512
"31127","county",2019,"employment_rnk",50.6714
"31129","county",2019,"employment_rnk",64.9936
"31131","county",2019,"employment_rnk",86.445
"31133","county",2019,"employment_rnk",31.9054
"31135","county",2019,"employment_rnk",93.9578
"31137","county",2019,"employment_rnk",93.1905
"31139","county",2019,"employment_rnk",92.7749
"31141","county",2019,"employment_rnk",90.1854
"31143","county",2019,"employment_rnk",75.8632
"31145","county",2019,"employment_rnk",54.3159
"31147","county",2019,"employment_rnk",61.7008
"31149","county",2019,"employment_rnk",70.812
"31151","county",2019,"employment_rnk",48.6253
"31153","county",2019,"employment_rnk",97.1547
"31155","county",2019,"employment_rnk",94.6611
"31157","county",2019,"employment_rnk",58.376
"31159","county",2019,"employment_rnk",88.587
"31161","county",2019,"employment_rnk",53.3887
"31163","county",2019,"employment_rnk",72.7621
"31165","county",2019,"employment_rnk",91.7199
"31167","county",2019,"employment_rnk",92.3274
"31169","county",2019,"employment_rnk",76.8542
"31171","county",2019,"employment_rnk",53.6765
"31173","county",2019,"employment_rnk",15.5691
"31175","county",2019,"employment_rnk",63.491
"31177","county",2019,"employment_rnk",94.4054
"31179","county",2019,"employment_rnk",57.289
"31181","county",2019,"employment_rnk",82.2251
"31183","county",2019,"employment_rnk",81.6176
"31185","county",2019,"employment_rnk",72.4425
"31001","county",2019,"employment_state_rnk",33.6957
"31003","county",2019,"employment_state_rnk",43.4783
"31005","county",2019,"employment_state_rnk",36.9565
"31007","county",2019,"employment_state_rnk",93.4783
"31009","county",2019,"employment_state_rnk",67.9348
"31011","county",2019,"employment_state_rnk",79.3478
"31013","county",2019,"employment_state_rnk",8.6957
"31015","county",2019,"employment_state_rnk",15.2174
"31017","county",2019,"employment_state_rnk",19.5652
"31019","county",2019,"employment_state_rnk",46.7391
"31021","county",2019,"employment_state_rnk",31.5217
"31023","county",2019,"employment_state_rnk",88.0435
"31025","county",2019,"employment_state_rnk",94.5652
"31027","county",2019,"employment_state_rnk",84.7826
"31029","county",2019,"employment_state_rnk",59.7826
"31031","county",2019,"employment_state_rnk",71.7391
"31033","county",2019,"employment_state_rnk",78.2609
"31035","county",2019,"employment_state_rnk",41.3043
"31037","county",2019,"employment_state_rnk",70.6522
"31039","county",2019,"employment_state_rnk",85.8696
"31041","county",2019,"employment_state_rnk",47.8261
"31043","county",2019,"employment_state_rnk",52.1739
"31045","county",2019,"employment_state_rnk",2.1739
"31047","county",2019,"employment_state_rnk",57.6087
"31049","county",2019,"employment_state_rnk",6.5217
"31051","county",2019,"employment_state_rnk",80.4348
"31053","county",2019,"employment_state_rnk",32.6087
"31055","county",2019,"employment_state_rnk",81.5217
"31057","county",2019,"employment_state_rnk",50
"31059","county",2019,"employment_state_rnk",75
"31061","county",2019,"employment_state_rnk",16.3043
"31063","county",2019,"employment_state_rnk",17.3913
"31065","county",2019,"employment_state_rnk",48.913
"31067","county",2019,"employment_state_rnk",51.087
"31069","county",2019,"employment_state_rnk",35.8696
"31071","county",2019,"employment_state_rnk",60.8696
"31073","county",2019,"employment_state_rnk",98.913
"31075","county",2019,"employment_state_rnk",9.7826
"31077","county",2019,"employment_state_rnk",28.2609
