"geoid","geolevel","year","level","value"
"49001","county",2019,"employment_score",103.69
"49003","county",2019,"employment_score",108.44
"49005","county",2019,"employment_score",94.46
"49007","county",2019,"employment_score",88.01
"49009","county",2019,"employment_score",114.72
"49011","county",2019,"employment_score",125.13
"49013","county",2019,"employment_score",104.52
"49015","county",2019,"employment_score",102.02
"49017","county",2019,"employment_score",85.24
"49019","county",2019,"employment_score",92.4
"49021","county",2019,"employment_score",81.85
"49023","county",2019,"employment_score",98.02
"49025","county",2019,"employment_score",88.1
"49027","county",2019,"employment_score",99.9
"49029","county",2019,"employment_score",126.46
"49031","county",2019,"employment_score",64.98
"49033","county",2019,"employment_score",97.46
"49035","county",2019,"employment_score",123.11
"49037","county",2019,"employment_score",72.43
"49039","county",2019,"employment_score",73.04
"49041","county",2019,"employment_score",90.84
"49043","county",2019,"employment_score",132.62
"49045","county",2019,"employment_score",123.81
"49047","county",2019,"employment_score",95.39
"49049","county",2019,"employment_score",102.15
"49051","county",2019,"employment_score",120.84
"49053","county",2019,"employment_score",90.45
"49055","county",2019,"employment_score",92.94
"49057","county",2019,"employment_score",113.84
"49001","county",2019,"employment_rnk",57.7366
"49003","county",2019,"employment_rnk",67.1675
"49005","county",2019,"employment_rnk",37.7558
"49007","county",2019,"employment_rnk",26.055
"49009","county",2019,"employment_rnk",77.6535
"49011","county",2019,"employment_rnk",90.665
"49013","county",2019,"employment_rnk",59.6867
"49015","county",2019,"employment_rnk",54.2839
"49017","county",2019,"employment_rnk",21.9309
"49019","county",2019,"employment_rnk",34.0473
"49021","county",2019,"employment_rnk",17.4233
"49023","county",2019,"employment_rnk",45.3645
"49025","county",2019,"employment_rnk",26.3107
"49027","county",2019,"employment_rnk",48.7852
"49029","county",2019,"employment_rnk",91.624
"49031","county",2019,"employment_rnk",4.188
"49033","county",2019,"employment_rnk",44.5332
"49035","county",2019,"employment_rnk",88.491
"49037","county",2019,"employment_rnk",7.7685
"49039","county",2019,"employment_rnk",8.312
"49041","county",2019,"employment_rnk",30.9783
"49043","county",2019,"employment_rnk",95.3325
"49045","county",2019,"employment_rnk",89.3542
"49047","county",2019,"employment_rnk",39.8977
"49049","county",2019,"employment_rnk",54.5716
"49051","county",2019,"employment_rnk",85.6458
"49053","county",2019,"employment_rnk",30.179
"49055","county",2019,"employment_rnk",34.7187
"49057","county",2019,"employment_rnk",76.2468
"49001","county",2019,"employment_state_rnk",64.2857
"49003","county",2019,"employment_state_rnk",71.4286
"49005","county",2019,"employment_state_rnk",39.2857
"49007","county",2019,"employment_state_rnk",17.8571
"49009","county",2019,"employment_state_rnk",78.5714
"49011","county",2019,"employment_state_rnk",92.8571
"49013","county",2019,"employment_state_rnk",67.8571
"49015","county",2019,"employment_state_rnk",57.1429
"49017","county",2019,"employment_state_rnk",14.2857
"49019","county",2019,"employment_state_rnk",32.1429
"49021","county",2019,"employment_state_rnk",10.7143
"49023","county",2019,"employment_state_rnk",50
"49025","county",2019,"employment_state_rnk",21.4286
"49027","county",2019,"employment_state_rnk",53.5714
"49029","county",2019,"employment_state_rnk",96.4286
"49031","county",2019,"employment_state_rnk",0
"49033","county",2019,"employment_state_rnk",46.4286
"49035","county",2019,"employment_state_rnk",85.7143
"49037","county",2019,"employment_state_rnk",3.5714
"49039","county",2019,"employment_state_rnk",7.1429
"49041","county",2019,"employment_state_rnk",28.5714
"49043","county",2019,"employment_state_rnk",100
"49045","county",2019,"employment_state_rnk",89.2857
"49047","county",2019,"employment_state_rnk",42.8571
"49049","county",2019,"employment_state_rnk",60.7143
"49051","county",2019,"employment_state_rnk",82.1429
"49053","county",2019,"employment_state_rnk",25
"49055","county",2019,"employment_state_rnk",35.7143
"49057","county",2019,"employment_state_rnk",75
