"geoid","geolevel","year","level","value"
"06001400100","tract",2019,"employment_score",137.05
"06001400200","tract",2019,"employment_score",146.75
"06001400300","tract",2019,"employment_score",137.17
"06001400400","tract",2019,"employment_score",135.6
"06001400500","tract",2019,"employment_score",118.44
"06001400600","tract",2019,"employment_score",124.02
"06001400700","tract",2019,"employment_score",113.62
"06001400800","tract",2019,"employment_score",120.99
"06001400900","tract",2019,"employment_score",110.93
"06001401000","tract",2019,"employment_score",114.04
"06001401100","tract",2019,"employment_score",124.34
"06001401200","tract",2019,"employment_score",132.16
"06001401300","tract",2019,"employment_score",107.68
"06001401400","tract",2019,"employment_score",86.11
"06001401500","tract",2019,"employment_score",107.69
"06001401600","tract",2019,"employment_score",98.1
"06001401700","tract",2019,"employment_score",128.49
"06001401800","tract",2019,"employment_score",105.73
"06001402200","tract",2019,"employment_score",106.4
"06001402400","tract",2019,"employment_score",103.47
"06001402500","tract",2019,"employment_score",68.32
"06001402600","tract",2019,"employment_score",91.35
"06001402700","tract",2019,"employment_score",99.93
"06001402800","tract",2019,"employment_score",110.05
"06001402900","tract",2019,"employment_score",94.6
"06001403000","tract",2019,"employment_score",89.73
"06001403100","tract",2019,"employment_score",113.3
"06001403300","tract",2019,"employment_score",118.25
"06001403400","tract",2019,"employment_score",127.31
"06001403501","tract",2019,"employment_score",115.32
"06001403502","tract",2019,"employment_score",128.62
"06001403600","tract",2019,"employment_score",119.39
"06001403701","tract",2019,"employment_score",129.64
"06001403702","tract",2019,"employment_score",134.39
"06001403800","tract",2019,"employment_score",137.94
"06001403900","tract",2019,"employment_score",129.36
"06001404000","tract",2019,"employment_score",132.98
"06001404101","tract",2019,"employment_score",138.73
"06001404102","tract",2019,"employment_score",133.7
"06001404200","tract",2019,"employment_score",132.04
"06001404300","tract",2019,"employment_score",144.46
"06001404400","tract",2019,"employment_score",137.56
"06001404501","tract",2019,"employment_score",147.16
"06001404502","tract",2019,"employment_score",148.35
"06001404600","tract",2019,"employment_score",135.43
"06001404700","tract",2019,"employment_score",137.12
"06001404800","tract",2019,"employment_score",123.56
"06001404900","tract",2019,"employment_score",136.01
"06001405000","tract",2019,"employment_score",143.68
"06001405100","tract",2019,"employment_score",147.42
"06001405200","tract",2019,"employment_score",130.54
"06001405301","tract",2019,"employment_score",128.8
"06001405302","tract",2019,"employment_score",115.21
"06001405401","tract",2019,"employment_score",98.08
"06001405402","tract",2019,"employment_score",98.82
"06001405500","tract",2019,"employment_score",106.76
"06001405600","tract",2019,"employment_score",105.73
