"geoid","geolevel","year","level","value"
"28001000100","tract",2019,"employment_score",72.65
"28001000200","tract",2019,"employment_score",81.6
"28001000300","tract",2019,"employment_score",65.39
"28001000400","tract",2019,"employment_score",46.94
"28001000500","tract",2019,"employment_score",68.05
"28001000600","tract",2019,"employment_score",90.61
"28001000700","tract",2019,"employment_score",74.34
"28001000800","tract",2019,"employment_score",87.81
"28001000900","tract",2019,"employment_score",98.34
"28003950100","tract",2019,"employment_score",104.98
"28003950200","tract",2019,"employment_score",96.67
"28003950300","tract",2019,"employment_score",97.42
"28003950400","tract",2019,"employment_score",110.3
"28003950500","tract",2019,"employment_score",89.97
"28003950600","tract",2019,"employment_score",89.05
"28003950700","tract",2019,"employment_score",106.28
"28005950100","tract",2019,"employment_score",95.69
"28005950200","tract",2019,"employment_score",93.48
"28005950300","tract",2019,"employment_score",95.58
"28007060100","tract",2019,"employment_score",71.22
"28007060200","tract",2019,"employment_score",96.71
"28007060300","tract",2019,"employment_score",82.22
"28007060400","tract",2019,"employment_score",103.39
"28007060500","tract",2019,"employment_score",78.1
"28007060600","tract",2019,"employment_score",71.84
"28009950100","tract",2019,"employment_score",96.09
"28009950200","tract",2019,"employment_score",95.74
"28011950100","tract",2019,"employment_score",58.04
"28011950200","tract",2019,"employment_score",50.95
"28011950300","tract",2019,"employment_score",71.04
"28011950400","tract",2019,"employment_score",62.45
"28011950500","tract",2019,"employment_score",77.18
"28011950600","tract",2019,"employment_score",91.67
"28011950701","tract",2019,"employment_score",54.97
"28011950702","tract",2019,"employment_score",55.99
"28013950100","tract",2019,"employment_score",94.77
"28013950200","tract",2019,"employment_score",89.31
"28013950300","tract",2019,"employment_score",95.31
"28013950400","tract",2019,"employment_score",93.9
"28013950500","tract",2019,"employment_score",86.64
"28015950100","tract",2019,"employment_score",100.44
"28015950200","tract",2019,"employment_score",95.38
"28017950100","tract",2019,"employment_score",92.5
"28017950200","tract",2019,"employment_score",100.89
"28017950300","tract",2019,"employment_score",92.81
"28017950400","tract",2019,"employment_score",95.99
"28019950100","tract",2019,"employment_score",94.92
"28019950200","tract",2019,"employment_score",99.39
"28019950300","tract",2019,"employment_score",100.95
"28021950100","tract",2019,"employment_score",72.33
"28021950200","tract",2019,"employment_score",77.41
"28021950300","tract",2019,"employment_score",75.84
"28023950100","tract",2019,"employment_score",110.51
"28023950200","tract",2019,"employment_score",98.62
"28023950300","tract",2019,"employment_score",84.72
"28023950400","tract",2019,"employment_score",91.07
"28025950100","tract",2019,"employment_score",90.2
"28025950200","tract",2019,"employment_score",84.14
"28025950300","tract",2019,"employment_score",86.41
"28025950400","tract",2019,"employment_score",90.98
"28025950500","tract",2019,"employment_score",109.45
"28027950100","tract",2019,"employment_score",60.81
"28027950200","tract",2019,"employment_score",94.89
"28027950300","tract",2019,"employment_score",79.34
"28027950400","tract",2019,"employment_score",88.03
"28027950500","tract",2019,"employment_score",73.03
"28027950600","tract",2019,"employment_score",73.81
"28027950700","tract",2019,"employment_score",39.31
"28029950100","tract",2019,"employment_score",86.02
"28029950200","tract",2019,"employment_score",110.11
"28029950300","tract",2019,"employment_score",85.86
"28029950400","tract",2019,"employment_score",74.11
"28029950500","tract",2019,"employment_score",89.8
"28029950600","tract",2019,"employment_score",99.84
"28031950100","tract",2019,"employment_score",95.48
"28031950200","tract",2019,"employment_score",76.52
"28031950300","tract",2019,"employment_score",94.48
"28031950400","tract",2019,"employment_score",104.23
"28033070101","tract",2019,"employment_score",108.1
"28033070102","tract",2019,"employment_score",111.3
"28033070210","tract",2019,"employment_score",108.41
"28033070221","tract",2019,"employment_score",116.07
"28033070222","tract",2019,"employment_score",123.11
"28033070310","tract",2019,"employment_score",108.97
"28033070322","tract",2019,"employment_score",112.74
"28033070323","tract",2019,"employment_score",103.26
"28033070324","tract",2019,"employment_score",85.71
"28033070325","tract",2019,"employment_score",92
"28033070411","tract",2019,"employment_score",99.18
"28033070412","tract",2019,"employment_score",96.08
"28033070421","tract",2019,"employment_score",104.58
"28033070422","tract",2019,"employment_score",94.21
"28033070520","tract",2019,"employment_score",119.41
"28033070521","tract",2019,"employment_score",101.86
"28033070522","tract",2019,"employment_score",100.86
"28033070610","tract",2019,"employment_score",105.71
"28033070620","tract",2019,"employment_score",129.89
"28033070630","tract",2019,"employment_score",133.15
"28033070710","tract",2019,"employment_score",124.32
"28033070721","tract",2019,"employment_score",119.7
"28033070722","tract",2019,"employment_score",132.37
"28033070811","tract",2019,"employment_score",122.47
"28033070812","tract",2019,"employment_score",113.35
"28033070821","tract",2019,"employment_score",113.32
"28033070822","tract",2019,"employment_score",112.42
"28033070830","tract",2019,"employment_score",122.68
"28033070900","tract",2019,"employment_score",119.37
"28033071000","tract",2019,"employment_score",127.77
"28033071110","tract",2019,"employment_score",128.3
"28033071120","tract",2019,"employment_score",111.02
"28033071200","tract",2019,"employment_score",113.16
"28035000200","tract",2019,"employment_score",107.47
