"geoid","geolevel","year","level","value"
"96701","zcta",2019,"employment_score",119.76
"96703","zcta",2019,"employment_score",99.53
"96704","zcta",2019,"employment_score",86.73
"96705","zcta",2019,"employment_score",123.44
"96706","zcta",2019,"employment_score",117.98
"96707","zcta",2019,"employment_score",117.33
"96708","zcta",2019,"employment_score",109.64
"96710","zcta",2019,"employment_score",69.76
"96712","zcta",2019,"employment_score",108.88
"96713","zcta",2019,"employment_score",100.69
"96714","zcta",2019,"employment_score",89.71
"96716","zcta",2019,"employment_score",112.97
"96717","zcta",2019,"employment_score",98.36
"96719","zcta",2019,"employment_score",65.88
"96720","zcta",2019,"employment_score",91.62
"96722","zcta",2019,"employment_score",96.98
"96725","zcta",2019,"employment_score",106.2
"96726","zcta",2019,"employment_score",112.99
"96727","zcta",2019,"employment_score",92.75
"96728","zcta",2019,"employment_score",103.75
"96729","zcta",2019,"employment_score",73.17
"96730","zcta",2019,"employment_score",102.46
"96731","zcta",2019,"employment_score",107.22
"96732","zcta",2019,"employment_score",110.76
"96734","zcta",2019,"employment_score",117.62
"96737","zcta",2019,"employment_score",28.2
"96738","zcta",2019,"employment_score",117.82
"96740","zcta",2019,"employment_score",104.39
"96741","zcta",2019,"employment_score",110.56
"96742","zcta",2019,"employment_score",NA
"96743","zcta",2019,"employment_score",112.73
"96744","zcta",2019,"employment_score",121.12
"96746","zcta",2019,"employment_score",110.14
"96747","zcta",2019,"employment_score",107.33
"96748","zcta",2019,"employment_score",77.49
"96749","zcta",2019,"employment_score",89.27
"96750","zcta",2019,"employment_score",105.05
"96751","zcta",2019,"employment_score",106.98
"96752","zcta",2019,"employment_score",112.45
"96753","zcta",2019,"employment_score",109.31
"96754","zcta",2019,"employment_score",99.86
"96755","zcta",2019,"employment_score",107.34
"96756","zcta",2019,"employment_score",102.96
"96757","zcta",2019,"employment_score",86.96
"96759","zcta",2019,"employment_score",116.79
"96760","zcta",2019,"employment_score",88.46
"96761","zcta",2019,"employment_score",109.07
"96762","zcta",2019,"employment_score",76.24
"96763","zcta",2019,"employment_score",119.79
"96764","zcta",2019,"employment_score",104.1
"96765","zcta",2019,"employment_score",131.26
"96766","zcta",2019,"employment_score",114.77
"96768","zcta",2019,"employment_score",113.78
"96769","zcta",2019,"employment_score",87.5
"96770","zcta",2019,"employment_score",62.62
"96771","zcta",2019,"employment_score",69.39
"96772","zcta",2019,"employment_score",77.41
"96773","zcta",2019,"employment_score",97.65
"96774","zcta",2019,"employment_score",76.32
"96776","zcta",2019,"employment_score",91.26
"96777","zcta",2019,"employment_score",91.21
"96778","zcta",2019,"employment_score",66.22
"96779","zcta",2019,"employment_score",114.61
"96780","zcta",2019,"employment_score",98
"96781","zcta",2019,"employment_score",96.99
"96782","zcta",2019,"employment_score",117.15
"96783","zcta",2019,"employment_score",92.27
"96785","zcta",2019,"employment_score",88.81
"96786","zcta",2019,"employment_score",98.49
"96789","zcta",2019,"employment_score",124.25
"96790","zcta",2019,"employment_score",112.19
"96791","zcta",2019,"employment_score",100.46
"96792","zcta",2019,"employment_score",84.21
"96793","zcta",2019,"employment_score",110.05
"96795","zcta",2019,"employment_score",108.74
"96796","zcta",2019,"employment_score",97.15
"96797","zcta",2019,"employment_score",113.44
"96813","zcta",2019,"employment_score",122.57
"96814","zcta",2019,"employment_score",120.88
"96815","zcta",2019,"employment_score",116.46
"96816","zcta",2019,"employment_score",115.13
"96817","zcta",2019,"employment_score",101.79
"96818","zcta",2019,"employment_score",109.28
"96819","zcta",2019,"employment_score",98.98
"96821","zcta",2019,"employment_score",131.96
"96822","zcta",2019,"employment_score",114.37
"96825","zcta",2019,"employment_score",131.19
"96826","zcta",2019,"employment_score",104.29
"96850","zcta",2019,"employment_score",NA
"96853","zcta",2019,"employment_score",NA
"96857","zcta",2019,"employment_score",NA
"96859","zcta",2019,"employment_score",NA
"96860","zcta",2019,"employment_score",NA
"96863","zcta",2019,"employment_score",NA
"96701","zcta",2019,"employment_rnk",85.3392
"96703","zcta",2019,"employment_rnk",48.2252
"96704","zcta",2019,"employment_rnk",22.8404
"96705","zcta",2019,"employment_rnk",89.2631
"96706","zcta",2019,"employment_rnk",83.0454
"96707","zcta",2019,"employment_rnk",82.1051
"96708","zcta",2019,"employment_rnk",69.5429
"96710","zcta",2019,"employment_rnk",6.2339
"96712","zcta",2019,"employment_rnk",68.1829
"96713","zcta",2019,"employment_rnk",50.7337
"96714","zcta",2019,"employment_rnk",27.9876
"96716","zcta",2019,"employment_rnk",75.4905
"96717","zcta",2019,"employment_rnk",45.7036
"96719","zcta",2019,"employment_rnk",4.4575
"96720","zcta",2019,"employment_rnk",31.4104
"96722","zcta",2019,"employment_rnk",42.7591
"96725","zcta",2019,"employment_rnk",62.7135
"96726","zcta",2019,"employment_rnk",75.5198
"96727","zcta",2019,"employment_rnk",33.6977
"96728","zcta",2019,"employment_rnk",57.4589
"96729","zcta",2019,"employment_rnk",8.1471
"96730","zcta",2019,"employment_rnk",54.7161
"96731","zcta",2019,"employment_rnk",64.8219
"96732","zcta",2019,"employment_rnk",71.5764
"96734","zcta",2019,"employment_rnk",82.5508
"96737","zcta",2019,"employment_rnk",0.2473
"96738","zcta",2019,"employment_rnk",82.7981
"96740","zcta",2019,"employment_rnk",58.832
"96741","zcta",2019,"employment_rnk",71.2478
"96742","zcta",2019,"employment_rnk",NA
"96743","zcta",2019,"employment_rnk",75.0708
"96744","zcta",2019,"employment_rnk",86.9595
"96746","zcta",2019,"employment_rnk",70.3953
"96747","zcta",2019,"employment_rnk",65.1114
"96748","zcta",2019,"employment_rnk",11.4625
"96749","zcta",2019,"employment_rnk",27.2068
"96750","zcta",2019,"employment_rnk",60.2473
"96751","zcta",2019,"employment_rnk",64.3599
"96752","zcta",2019,"employment_rnk",74.5437
"96753","zcta",2019,"employment_rnk",68.8921
"96754","zcta",2019,"employment_rnk",48.9214
"96755","zcta",2019,"employment_rnk",65.1407
"96756","zcta",2019,"employment_rnk",55.7801
"96757","zcta",2019,"employment_rnk",23.2211
"96759","zcta",2019,"employment_rnk",81.4576
"96760","zcta",2019,"employment_rnk",25.8012
"96761","zcta",2019,"employment_rnk",68.531
"96762","zcta",2019,"employment_rnk",10.3725
"96763","zcta",2019,"employment_rnk",85.3717
"96764","zcta",2019,"employment_rnk",58.204
"96765","zcta",2019,"employment_rnk",94.7422
"96766","zcta",2019,"employment_rnk",78.422
"96768","zcta",2019,"employment_rnk",76.844
"96769","zcta",2019,"employment_rnk",24.1744
"96770","zcta",2019,"employment_rnk",3.5074
"96771","zcta",2019,"employment_rnk",6.029
"96772","zcta",2019,"employment_rnk",11.3844
"96773","zcta",2019,"employment_rnk",44.1581
"96774","zcta",2019,"employment_rnk",10.4311
"96776","zcta",2019,"employment_rnk",30.75
"96777","zcta",2019,"employment_rnk",30.6231
"96778","zcta",2019,"employment_rnk",4.6071
"96779","zcta",2019,"employment_rnk",78.1357
"96780","zcta",2019,"employment_rnk",44.8707
"96781","zcta",2019,"employment_rnk",42.7851
"96782","zcta",2019,"employment_rnk",81.8838
"96783","zcta",2019,"employment_rnk",32.7867
"96785","zcta",2019,"employment_rnk",26.4129
"96786","zcta",2019,"employment_rnk",46.0029
"96789","zcta",2019,"employment_rnk",89.9789
"96790","zcta",2019,"employment_rnk",74.1109
"96791","zcta",2019,"employment_rnk",50.1513
"96792","zcta",2019,"employment_rnk",19.1313
"96793","zcta",2019,"employment_rnk",70.1936
"96795","zcta",2019,"employment_rnk",67.9226
"96796","zcta",2019,"employment_rnk",43.0617
"96797","zcta",2019,"employment_rnk",76.2453
"96813","zcta",2019,"employment_rnk",88.4041
"96814","zcta",2019,"employment_rnk",86.6211
"96815","zcta",2019,"employment_rnk",81.0216
"96816","zcta",2019,"employment_rnk",78.9588
"96817","zcta",2019,"employment_rnk",53.1479
"96818","zcta",2019,"employment_rnk",68.8498
"96819","zcta",2019,"employment_rnk",47.0408
"96821","zcta",2019,"employment_rnk",95.0773
"96822","zcta",2019,"employment_rnk",77.7517
"96825","zcta",2019,"employment_rnk",94.6933
"96826","zcta",2019,"employment_rnk",58.5912
"96850","zcta",2019,"employment_rnk",NA
"96853","zcta",2019,"employment_rnk",NA
"96857","zcta",2019,"employment_rnk",NA
"96859","zcta",2019,"employment_rnk",NA
"96860","zcta",2019,"employment_rnk",NA
"96863","zcta",2019,"employment_rnk",NA
"96701","zcta",2019,"employment_state_rnk",89.5349
"96703","zcta",2019,"employment_state_rnk",37.2093
"96704","zcta",2019,"employment_state_rnk",13.9535
"96705","zcta",2019,"employment_state_rnk",95.3488
"96706","zcta",2019,"employment_state_rnk",88.3721
"96707","zcta",2019,"employment_state_rnk",84.8837
"96708","zcta",2019,"employment_state_rnk",62.7907
"96710","zcta",2019,"employment_state_rnk",5.814
"96712","zcta",2019,"employment_state_rnk",58.1395
"96713","zcta",2019,"employment_state_rnk",40.6977
"96714","zcta",2019,"employment_state_rnk",20.9302
"96716","zcta",2019,"employment_state_rnk",72.093
"96717","zcta",2019,"employment_state_rnk",33.7209
"96719","zcta",2019,"employment_state_rnk",2.3256
"96720","zcta",2019,"employment_state_rnk",24.4186
"96722","zcta",2019,"employment_state_rnk",27.907
"96725","zcta",2019,"employment_state_rnk",51.1628
"96726","zcta",2019,"employment_state_rnk",73.2558
"96727","zcta",2019,"employment_state_rnk",26.7442
"96728","zcta",2019,"employment_state_rnk",45.3488
"96729","zcta",2019,"employment_state_rnk",6.9767
"96730","zcta",2019,"employment_state_rnk",43.0233
"96731","zcta",2019,"employment_state_rnk",53.4884
"96732","zcta",2019,"employment_state_rnk",67.4419
"96734","zcta",2019,"employment_state_rnk",86.0465
"96737","zcta",2019,"employment_state_rnk",0
"96738","zcta",2019,"employment_state_rnk",87.2093
"96740","zcta",2019,"employment_state_rnk",48.8372
"96741","zcta",2019,"employment_state_rnk",66.2791
"96742","zcta",2019,"employment_state_rnk",NA
"96743","zcta",2019,"employment_state_rnk",70.9302
"96744","zcta",2019,"employment_state_rnk",93.0233
"96746","zcta",2019,"employment_state_rnk",65.1163
"96747","zcta",2019,"employment_state_rnk",54.6512
"96748","zcta",2019,"employment_state_rnk",11.6279
"96749","zcta",2019,"employment_state_rnk",19.7674
"96750","zcta",2019,"employment_state_rnk",50
"96751","zcta",2019,"employment_state_rnk",52.3256
"96752","zcta",2019,"employment_state_rnk",69.7674
"96753","zcta",2019,"employment_state_rnk",61.6279
"96754","zcta",2019,"employment_state_rnk",38.3721
"96755","zcta",2019,"employment_state_rnk",55.814
"96756","zcta",2019,"employment_state_rnk",44.186
"96757","zcta",2019,"employment_state_rnk",15.1163
"96759","zcta",2019,"employment_state_rnk",82.5581
"96760","zcta",2019,"employment_state_rnk",17.4419
"96761","zcta",2019,"employment_state_rnk",59.3023
"96762","zcta",2019,"employment_state_rnk",8.1395
"96763","zcta",2019,"employment_state_rnk",90.6977
"96764","zcta",2019,"employment_state_rnk",46.5116
"96765","zcta",2019,"employment_state_rnk",98.8372
"96766","zcta",2019,"employment_state_rnk",79.0698
"96768","zcta",2019,"employment_state_rnk",75.5814
"96769","zcta",2019,"employment_state_rnk",16.2791
"96770","zcta",2019,"employment_state_rnk",1.1628
"96771","zcta",2019,"employment_state_rnk",4.6512
"96772","zcta",2019,"employment_state_rnk",10.4651
"96773","zcta",2019,"employment_state_rnk",31.3953
"96774","zcta",2019,"employment_state_rnk",9.3023
"96776","zcta",2019,"employment_state_rnk",23.2558
