"geoid","geolevel","year","level","value"
"10001","zcta",2019,"employment_score",148.59
"10002","zcta",2019,"employment_score",97.56
"10003","zcta",2019,"employment_score",141.3
"10004","zcta",2019,"employment_score",179.98
"10005","zcta",2019,"employment_score",178.71
"10006","zcta",2019,"employment_score",180.53
"10007","zcta",2019,"employment_score",167.75
"10009","zcta",2019,"employment_score",128.24
"10010","zcta",2019,"employment_score",157.92
"10011","zcta",2019,"employment_score",163.45
"10012","zcta",2019,"employment_score",145.87
"10013","zcta",2019,"employment_score",142.65
"10014","zcta",2019,"employment_score",162.16
"10016","zcta",2019,"employment_score",167.45
"10017","zcta",2019,"employment_score",165.83
"10018","zcta",2019,"employment_score",160.59
"10019","zcta",2019,"employment_score",151.85
"10020","zcta",2019,"employment_score",NA
"10021","zcta",2019,"employment_score",162.33
"10022","zcta",2019,"employment_score",169.73
"10023","zcta",2019,"employment_score",155.83
"10024","zcta",2019,"employment_score",156.13
"10025","zcta",2019,"employment_score",129.12
"10026","zcta",2019,"employment_score",113.95
"10027","zcta",2019,"employment_score",100.94
"10028","zcta",2019,"employment_score",164.44
"10029","zcta",2019,"employment_score",90.59
"10030","zcta",2019,"employment_score",95.34
"10031","zcta",2019,"employment_score",100.03
"10032","zcta",2019,"employment_score",92.81
"10033","zcta",2019,"employment_score",100.54
"10034","zcta",2019,"employment_score",98.98
"10035","zcta",2019,"employment_score",88.41
"10036","zcta",2019,"employment_score",145
"10037","zcta",2019,"employment_score",102.91
"10038","zcta",2019,"employment_score",138.7
"10039","zcta",2019,"employment_score",88.8
"10040","zcta",2019,"employment_score",92.41
"10044","zcta",2019,"employment_score",137.69
"10065","zcta",2019,"employment_score",167.32
"10069","zcta",2019,"employment_score",167.19
"10075","zcta",2019,"employment_score",161.47
"10103","zcta",2019,"employment_score",NA
"10110","zcta",2019,"employment_score",NA
"10111","zcta",2019,"employment_score",NA
"10112","zcta",2019,"employment_score",NA
"10115","zcta",2019,"employment_score",NA
"10119","zcta",2019,"employment_score",NA
"10128","zcta",2019,"employment_score",158.45
"10152","zcta",2019,"employment_score",NA
"10153","zcta",2019,"employment_score",NA
"10154","zcta",2019,"employment_score",NA
"10162","zcta",2019,"employment_score",160.15
"10165","zcta",2019,"employment_score",NA
"10167","zcta",2019,"employment_score",NA
"10168","zcta",2019,"employment_score",NA
"10169","zcta",2019,"employment_score",NA
"10170","zcta",2019,"employment_score",NA
"10171","zcta",2019,"employment_score",NA
"10172","zcta",2019,"employment_score",NA
"10173","zcta",2019,"employment_score",NA
"10174","zcta",2019,"employment_score",NA
"10177","zcta",2019,"employment_score",NA
"10199","zcta",2019,"employment_score",NA
"10271","zcta",2019,"employment_score",NA
"10278","zcta",2019,"employment_score",NA
"10279","zcta",2019,"employment_score",NA
"10280","zcta",2019,"employment_score",182.82
"10282","zcta",2019,"employment_score",191.81
"10301","zcta",2019,"employment_score",109.27
"10302","zcta",2019,"employment_score",107.18
"10303","zcta",2019,"employment_score",102.2
"10304","zcta",2019,"employment_score",104.88
"10305","zcta",2019,"employment_score",111.91
"10306","zcta",2019,"employment_score",119.28
"10307","zcta",2019,"employment_score",126.88
"10308","zcta",2019,"employment_score",124.65
"10309","zcta",2019,"employment_score",128.31
"10310","zcta",2019,"employment_score",115.91
"10311","zcta",2019,"employment_score",NA
"10312","zcta",2019,"employment_score",126.21
"10314","zcta",2019,"employment_score",118.71
"10451","zcta",2019,"employment_score",78.11
"10452","zcta",2019,"employment_score",74.08
"10453","zcta",2019,"employment_score",69.11
"10454","zcta",2019,"employment_score",66.3
"10455","zcta",2019,"employment_score",69.86
"10456","zcta",2019,"employment_score",66.9
"10457","zcta",2019,"employment_score",71.24
"10458","zcta",2019,"employment_score",71.3
"10459","zcta",2019,"employment_score",74.1
"10460","zcta",2019,"employment_score",70.75
"10461","zcta",2019,"employment_score",109.55
"10462","zcta",2019,"employment_score",98.79
"10463","zcta",2019,"employment_score",107.98
"10464","zcta",2019,"employment_score",120.7
"10465","zcta",2019,"employment_score",112.2
"10466","zcta",2019,"employment_score",96.88
"10467","zcta",2019,"employment_score",86.04
"10468","zcta",2019,"employment_score",79.82
"10469","zcta",2019,"employment_score",100.38
"10470","zcta",2019,"employment_score",109.69
"10471","zcta",2019,"employment_score",121.51
"10472","zcta",2019,"employment_score",77.04
"10473","zcta",2019,"employment_score",92.13
"10474","zcta",2019,"employment_score",65.49
"10475","zcta",2019,"employment_score",105.63
"10501","zcta",2019,"employment_score",141.21
"10502","zcta",2019,"employment_score",149.95
"10503","zcta",2019,"employment_score",135.26
"10504","zcta",2019,"employment_score",146.48
"10505","zcta",2019,"employment_score",126.49
"10506","zcta",2019,"employment_score",141.82
"10507","zcta",2019,"employment_score",112.6
"10509","zcta",2019,"employment_score",120.39
"10510","zcta",2019,"employment_score",148.98
"10511","zcta",2019,"employment_score",121.82
"10512","zcta",2019,"employment_score",120.49
"10514","zcta",2019,"employment_score",157.87
"10516","zcta",2019,"employment_score",123.52
"10517","zcta",2019,"employment_score",113.63
"10518","zcta",2019,"employment_score",131.23
"10519","zcta",2019,"employment_score",165.11
"10520","zcta",2019,"employment_score",131.64
"10522","zcta",2019,"employment_score",132.89
"10523","zcta",2019,"employment_score",127.39
"10524","zcta",2019,"employment_score",117.37
"10526","zcta",2019,"employment_score",128.71
"10527","zcta",2019,"employment_score",147.05
"10528","zcta",2019,"employment_score",133.28
"10530","zcta",2019,"employment_score",145.01
"10532","zcta",2019,"employment_score",133.85
"10533","zcta",2019,"employment_score",146.41
"10535","zcta",2019,"employment_score",105.17
"10536","zcta",2019,"employment_score",140.16
"10537","zcta",2019,"employment_score",126.55
"10538","zcta",2019,"employment_score",153.51
"10541","zcta",2019,"employment_score",125.8
"10543","zcta",2019,"employment_score",130.27
"10545","zcta",2019,"employment_score",NA
"10546","zcta",2019,"employment_score",162.83
"10547","zcta",2019,"employment_score",117.25
"10548","zcta",2019,"employment_score",111.28
"10549","zcta",2019,"employment_score",123.87
"10550","zcta",2019,"employment_score",101.43
"10552","zcta",2019,"employment_score",123.02
"10553","zcta",2019,"employment_score",111.79
"10560","zcta",2019,"employment_score",135
"10562","zcta",2019,"employment_score",116.64
"10566","zcta",2019,"employment_score",107.33
"10567","zcta",2019,"employment_score",133.51
"10570","zcta",2019,"employment_score",130.65
"10573","zcta",2019,"employment_score",109.54
"10576","zcta",2019,"employment_score",140.8
"10577","zcta",2019,"employment_score",NA
"10578","zcta",2019,"employment_score",128.26
"10579","zcta",2019,"employment_score",129.35
"10580","zcta",2019,"employment_score",145.8
"10583","zcta",2019,"employment_score",151.24
"10588","zcta",2019,"employment_score",118.53
