"geoid","geolevel","year","level","value"
"26001","county",2023,"employment_score",78.35
"26003","county",2023,"employment_score",78.25
"26005","county",2023,"employment_score",115.19
"26007","county",2023,"employment_score",81.15
"26009","county",2023,"employment_score",99.68
"26011","county",2023,"employment_score",93.48
"26013","county",2023,"employment_score",84.87
"26015","county",2023,"employment_score",112.95
"26017","county",2023,"employment_score",100.55
"26019","county",2023,"employment_score",90.85
"26021","county",2023,"employment_score",102.9
"26023","county",2023,"employment_score",101.21
"26025","county",2023,"employment_score",98.85
"26027","county",2023,"employment_score",110.87
"26029","county",2023,"employment_score",106.48
"26031","county",2023,"employment_score",83.51
"26033","county",2023,"employment_score",85.35
"26035","county",2023,"employment_score",68.71
"26037","county",2023,"employment_score",120.74
"26039","county",2023,"employment_score",84.6
"26041","county",2023,"employment_score",83.48
"26043","county",2023,"employment_score",100.72
"26045","county",2023,"employment_score",113.6
"26047","county",2023,"employment_score",100.62
"26049","county",2023,"employment_score",88.2
"26051","county",2023,"employment_score",89.57
"26053","county",2023,"employment_score",82.38
"26055","county",2023,"employment_score",110.96
"26057","county",2023,"employment_score",89.61
"26059","county",2023,"employment_score",100.01
"26061","county",2023,"employment_score",77.78
"26063","county",2023,"employment_score",97.87
"26065","county",2023,"employment_score",96.8
"26067","county",2023,"employment_score",102.74
"26069","county",2023,"employment_score",75.23
"26071","county",2023,"employment_score",86
"26073","county",2023,"employment_score",71.45
"26075","county",2023,"employment_score",98.04
"26077","county",2023,"employment_score",107.52
"26079","county",2023,"employment_score",96.37
"26081","county",2023,"employment_score",115.18
"26083","county",2023,"employment_score",96.62
"26085","county",2023,"employment_score",68.21
"26087","county",2023,"employment_score",101.42
"26089","county",2023,"employment_score",99.73
"26091","county",2023,"employment_score",103.42
"26093","county",2023,"employment_score",126.82
"26095","county",2023,"employment_score",84.8
"26097","county",2023,"employment_score",81.07
"26099","county",2023,"employment_score",108.48
"26101","county",2023,"employment_score",86.69
"26103","county",2023,"employment_score",88.7
"26105","county",2023,"employment_score",97.29
"26107","county",2023,"employment_score",80.38
"26109","county",2023,"employment_score",102.57
"26111","county",2023,"employment_score",108.97
"26113","county",2023,"employment_score",92.11
"26115","county",2023,"employment_score",115.35
"26117","county",2023,"employment_score",92.24
"26119","county",2023,"employment_score",81.32
"26121","county",2023,"employment_score",94
"26123","county",2023,"employment_score",97.33
"26125","county",2023,"employment_score",128.5
"26127","county",2023,"employment_score",92.04
"26129","county",2023,"employment_score",81.26
