"geoid","geolevel","year","level","value"
"30001","county",2023,"employment_score",90.05
"30003","county",2023,"employment_score",71.98
"30005","county",2023,"employment_score",76.19
"30007","county",2023,"employment_score",115.9
"30009","county",2023,"employment_score",93.73
"30011","county",2023,"employment_score",89.16
"30013","county",2023,"employment_score",100.98
"30015","county",2023,"employment_score",96.53
"30017","county",2023,"employment_score",98.52
"30019","county",2023,"employment_score",113.56
"30021","county",2023,"employment_score",110.93
"30023","county",2023,"employment_score",83.16
"30025","county",2023,"employment_score",120.78
"30027","county",2023,"employment_score",97.21
"30029","county",2023,"employment_score",106.52
"30031","county",2023,"employment_score",115.21
"30033","county",2023,"employment_score",115.6
"30035","county",2023,"employment_score",72.75
"30037","county",2023,"employment_score",89.29
"30039","county",2023,"employment_score",80.01
"30041","county",2023,"employment_score",93.98
"30043","county",2023,"employment_score",108.77
"30045","county",2023,"employment_score",100.69
"30047","county",2023,"employment_score",83.76
"30049","county",2023,"employment_score",117.71
"30051","county",2023,"employment_score",102.65
"30053","county",2023,"employment_score",76.42
"30055","county",2023,"employment_score",115.13
"30057","county",2023,"employment_score",92.98
"30059","county",2023,"employment_score",90.69
"30061","county",2023,"employment_score",82.6
"30063","county",2023,"employment_score",105.9
"30065","county",2023,"employment_score",89.31
"30067","county",2023,"employment_score",107.66
"30069","county",2023,"employment_score",119.25
"30071","county",2023,"employment_score",98.82
"30073","county",2023,"employment_score",75.94
"30075","county",2023,"employment_score",105.22
"30077","county",2023,"employment_score",94.78
"30079","county",2023,"employment_score",93.07
"30081","county",2023,"employment_score",92.67
"30083","county",2023,"employment_score",118.06
"30085","county",2023,"employment_score",85.07
"30087","county",2023,"employment_score",87.47
"30089","county",2023,"employment_score",68.26
"30091","county",2023,"employment_score",96.99
"30093","county",2023,"employment_score",90.26
"30095","county",2023,"employment_score",105.99
"30097","county",2023,"employment_score",104.78
"30099","county",2023,"employment_score",103.06
"30101","county",2023,"employment_score",94.09
"30103","county",2023,"employment_score",123.47
"30105","county",2023,"employment_score",101.66
"30107","county",2023,"employment_score",98.04
"30109","county",2023,"employment_score",116
"30111","county",2023,"employment_score",111.39
"30001","county",2023,"employment_rnk",26.6189
"30003","county",2023,"employment_rnk",7.0672
"30005","county",2023,"employment_rnk",9.6202
"30007","county",2023,"employment_rnk",80.2615
"30009","county",2023,"employment_rnk",34.2777
"30011","county",2023,"employment_rnk",25.2491
"30013","county",2023,"employment_rnk",49.9689
"30015","county",2023,"employment_rnk",39.8506
"30017","county",2023,"employment_rnk",44.1158
"30019","county",2023,"employment_rnk",76.401
"30021","county",2023,"employment_rnk",71.5131
"30023","county",2023,"employment_rnk",16.2204
"30025","county",2023,"employment_rnk",87.5467
"30027","county",2023,"employment_rnk",41.2516
"30029","county",2023,"employment_rnk",62.9514
"30031","county",2023,"employment_rnk",78.8294
"30033","county",2023,"employment_rnk",79.5455
"30035","county",2023,"employment_rnk",7.5031
"30037","county",2023,"employment_rnk",25.4981
"30039","county",2023,"employment_rnk",12.7335
"30041","county",2023,"employment_rnk",34.9938
"30043","county",2023,"employment_rnk",67.5903
"30045","county",2023,"employment_rnk",48.8792
"30047","county",2023,"employment_rnk",17.0299
"30049","county",2023,"employment_rnk",83.0635
"30051","county",2023,"employment_rnk",53.7983
"30053","county",2023,"employment_rnk",9.9626
"30055","county",2023,"employment_rnk",78.5492
"30057","county",2023,"employment_rnk",32.6276
"30059","county",2023,"employment_rnk",28.269
"30061","county",2023,"employment_rnk",15.8157
"30063","county",2023,"employment_rnk",61.3636
"30065","county",2023,"employment_rnk",25.5915
"30067","county",2023,"employment_rnk",65.5666
"30069","county",2023,"employment_rnk",85.3985
"30071","county",2023,"employment_rnk",45.0187
"30073","county",2023,"employment_rnk",9.4022
"30075","county",2023,"employment_rnk",60.0249
"30077","county",2023,"employment_rnk",36.7684
"30079","county",2023,"employment_rnk",32.8767
"30081","county",2023,"employment_rnk",32.0361
"30083","county",2023,"employment_rnk",83.6862
"30085","county",2023,"employment_rnk",18.8045
"30087","county",2023,"employment_rnk",22.4782
"30089","county",2023,"employment_rnk",5.3238
"30091","county",2023,"employment_rnk",40.7846
"30093","county",2023,"employment_rnk",27.2416
"30095","county",2023,"employment_rnk",61.5504
"30097","county",2023,"employment_rnk",59.2466
"30099","county",2023,"employment_rnk",55.1681
"30101","county",2023,"employment_rnk",35.3051
"30103","county",2023,"employment_rnk",90.3487
"30105","county",2023,"employment_rnk",51.6812
"30107","county",2023,"employment_rnk",43.2441
"30109","county",2023,"employment_rnk",80.4483
"30111","county",2023,"employment_rnk",72.4159
"30001","county",2023,"employment_state_rnk",27.2727
"30003","county",2023,"employment_state_rnk",1.8182
"30005","county",2023,"employment_state_rnk",7.2727
"30007","county",2023,"employment_state_rnk",89.0909
"30009","county",2023,"employment_state_rnk",38.1818
"30011","county",2023,"employment_state_rnk",21.8182
"30013","county",2023,"employment_state_rnk",58.1818
"30015","county",2023,"employment_state_rnk",45.4545
"30017","county",2023,"employment_state_rnk",52.7273
"30019","county",2023,"employment_state_rnk",81.8182
"30021","county",2023,"employment_state_rnk",78.1818
"30023","county",2023,"employment_state_rnk",14.5455
"30025","county",2023,"employment_state_rnk",98.1818
"30027","county",2023,"employment_state_rnk",49.0909
"30029","county",2023,"employment_state_rnk",72.7273
"30031","county",2023,"employment_state_rnk",85.4545
"30033","county",2023,"employment_state_rnk",87.2727
"30035","county",2023,"employment_state_rnk",3.6364
"30037","county",2023,"employment_state_rnk",23.6364
"30039","county",2023,"employment_state_rnk",10.9091
"30041","county",2023,"employment_state_rnk",40
"30043","county",2023,"employment_state_rnk",76.3636
"30045","county",2023,"employment_state_rnk",56.3636
"30047","county",2023,"employment_state_rnk",16.3636
"30049","county",2023,"employment_state_rnk",92.7273
"30051","county",2023,"employment_state_rnk",61.8182
"30053","county",2023,"employment_state_rnk",9.0909
"30055","county",2023,"employment_state_rnk",83.6364
"30057","county",2023,"employment_state_rnk",34.5455
"30059","county",2023,"employment_state_rnk",30.9091
"30061","county",2023,"employment_state_rnk",12.7273
"30063","county",2023,"employment_state_rnk",69.0909
"30065","county",2023,"employment_state_rnk",25.4545
"30067","county",2023,"employment_state_rnk",74.5455
"30069","county",2023,"employment_state_rnk",96.3636
"30071","county",2023,"employment_state_rnk",54.5455
"30073","county",2023,"employment_state_rnk",5.4545
"30075","county",2023,"employment_state_rnk",67.2727
"30077","county",2023,"employment_state_rnk",43.6364
"30079","county",2023,"employment_state_rnk",36.3636
"30081","county",2023,"employment_state_rnk",32.7273
"30083","county",2023,"employment_state_rnk",94.5455
"30085","county",2023,"employment_state_rnk",18.1818
"30087","county",2023,"employment_state_rnk",20
"30089","county",2023,"employment_state_rnk",0
"30091","county",2023,"employment_state_rnk",47.2727
"30093","county",2023,"employment_state_rnk",29.0909
"30095","county",2023,"employment_state_rnk",70.9091
"30097","county",2023,"employment_state_rnk",65.4545
"30099","county",2023,"employment_state_rnk",63.6364
"30101","county",2023,"employment_state_rnk",41.8182
"30103","county",2023,"employment_state_rnk",100
"30105","county",2023,"employment_state_rnk",60
"30107","county",2023,"employment_state_rnk",50.9091
"30109","county",2023,"employment_state_rnk",90.9091
"30111","county",2023,"employment_state_rnk",80
