"geoid","geolevel","year","level","value"
"47001","county",2023,"employment_score",105.72
"47003","county",2023,"employment_score",104.31
"47005","county",2023,"employment_score",90.09
"47007","county",2023,"employment_score",72.73
"47009","county",2023,"employment_score",114.95
"47011","county",2023,"employment_score",100.74
"47013","county",2023,"employment_score",85.25
"47015","county",2023,"employment_score",107.1
"47017","county",2023,"employment_score",93.97
"47019","county",2023,"employment_score",83.95
"47021","county",2023,"employment_score",123.34
"47023","county",2023,"employment_score",102.22
"47025","county",2023,"employment_score",88.8
"47027","county",2023,"employment_score",85.12
"47029","county",2023,"employment_score",86.86
"47031","county",2023,"employment_score",97.72
"47033","county",2023,"employment_score",106.08
"47035","county",2023,"employment_score",86.52
"47037","county",2023,"employment_score",124.17
"47039","county",2023,"employment_score",81.08
"47041","county",2023,"employment_score",92.08
"47043","county",2023,"employment_score",117.08
"47045","county",2023,"employment_score",101.9
"47047","county",2023,"employment_score",115.3
"47049","county",2023,"employment_score",78.29
"47051","county",2023,"employment_score",105.83
"47053","county",2023,"employment_score",99.38
"47055","county",2023,"employment_score",99.81
"47057","county",2023,"employment_score",88.78
"47059","county",2023,"employment_score",91.56
"47061","county",2023,"employment_score",76.99
"47063","county",2023,"employment_score",91.93
"47065","county",2023,"employment_score",115.32
"47067","county",2023,"employment_score",60.77
"47069","county",2023,"employment_score",75.44
"47071","county",2023,"employment_score",85.84
"47073","county",2023,"employment_score",87.21
"47075","county",2023,"employment_score",81.01
"47077","county",2023,"employment_score",94.08
"47079","county",2023,"employment_score",93.08
"47081","county",2023,"employment_score",97.75
"47083","county",2023,"employment_score",89.78
"47085","county",2023,"employment_score",89.41
"47087","county",2023,"employment_score",71.34
"47089","county",2023,"employment_score",96.8
"47091","county",2023,"employment_score",81.75
"47093","county",2023,"employment_score",116.53
"47095","county",2023,"employment_score",49.44
"47097","county",2023,"employment_score",91.45
"47099","county",2023,"employment_score",95.43
"47101","county",2023,"employment_score",93.84
"47103","county",2023,"employment_score",110.45
"47105","county",2023,"employment_score",108.65
"47107","county",2023,"employment_score",96.66
"47109","county",2023,"employment_score",95.9
"47111","county",2023,"employment_score",97.3
"47113","county",2023,"employment_score",93.96
"47115","county",2023,"employment_score",86.73
"47117","county",2023,"employment_score",116.79
"47119","county",2023,"employment_score",121.26
"47121","county",2023,"employment_score",86.55
"47123","county",2023,"employment_score",90.49
"47125","county",2023,"employment_score",105.03
"47127","county",2023,"employment_score",103.54
"47129","county",2023,"employment_score",89.86
"47131","county",2023,"employment_score",96.99
"47133","county",2023,"employment_score",98.22
"47135","county",2023,"employment_score",80.73
"47137","county",2023,"employment_score",86.67
"47139","county",2023,"employment_score",99.31
"47141","county",2023,"employment_score",96.76
"47143","county",2023,"employment_score",90.19
"47145","county",2023,"employment_score",102.14
"47147","county",2023,"employment_score",120.04
"47149","county",2023,"employment_score",122.89
"47151","county",2023,"employment_score",78.2
"47153","county",2023,"employment_score",71.42
"47155","county",2023,"employment_score",97.65
"47157","county",2023,"employment_score",107.07
"47159","county",2023,"employment_score",110.85
"47161","county",2023,"employment_score",97.48
"47163","county",2023,"employment_score",97.8
"47165","county",2023,"employment_score",125.26
"47167","county",2023,"employment_score",109.54
"47169","county",2023,"employment_score",106.48
"47171","county",2023,"employment_score",96.78
"47173","county",2023,"employment_score",103.25
"47175","county",2023,"employment_score",95.03
"47177","county",2023,"employment_score",89.75
"47179","county",2023,"employment_score",100.83
"47181","county",2023,"employment_score",91.98
"47183","county",2023,"employment_score",93.25
"47185","county",2023,"employment_score",90.49
"47187","county",2023,"employment_score",146.82
"47189","county",2023,"employment_score",130.54
"47001","county",2023,"employment_rnk",61.0212
"47003","county",2023,"employment_rnk",58.2192
"47005","county",2023,"employment_rnk",26.7746
"47007","county",2023,"employment_rnk",7.4408
"47009","county",2023,"employment_rnk",78.1756
"47011","county",2023,"employment_rnk",49.066
"47013","county",2023,"employment_rnk",19.0847
"47015","county",2023,"employment_rnk",64.4147
"47017","county",2023,"employment_rnk",34.9626
"47019","county",2023,"employment_rnk",17.2167
"47021","county",2023,"employment_rnk",90.2242
"47023","county",2023,"employment_rnk",53.0199
"47025","county",2023,"employment_rnk",24.5641
"47027","county",2023,"employment_rnk",18.8979
"47029","county",2023,"employment_rnk",21.5442
"47031","county",2023,"employment_rnk",42.4969
"47033","county",2023,"employment_rnk",61.7995
"47035","county",2023,"employment_rnk",20.9838
"47037","county",2023,"employment_rnk",91.0959
"47039","county",2023,"employment_rnk",13.9477
"47041","county",2023,"employment_rnk",30.8842
"47043","county",2023,"employment_rnk",82.1606
"47045","county",2023,"employment_rnk",52.0859
"47047","county",2023,"employment_rnk",79.0473
"47049","county",2023,"employment_rnk",11.6127
"47051","county",2023,"employment_rnk",61.2391
"47053","county",2023,"employment_rnk",46.0461
"47055","county",2023,"employment_rnk",46.9801
"47057","county",2023,"employment_rnk",24.4707
"47059","county",2023,"employment_rnk",29.7634
"47061","county",2023,"employment_rnk",10.741
"47063","county",2023,"employment_rnk",30.4172
"47065","county",2023,"employment_rnk",79.1096
"47067","county",2023,"employment_rnk",3.5803
"47069","county",2023,"employment_rnk",9.122
"47071","county",2023,"employment_rnk",19.9253
"47073","county",2023,"employment_rnk",22.0735
"47075","county",2023,"employment_rnk",13.8232
"47077","county",2023,"employment_rnk",35.2428
"47079","county",2023,"employment_rnk",32.9078
"47081","county",2023,"employment_rnk",42.5903
"47083","county",2023,"employment_rnk",26.1831
"47085","county",2023,"employment_rnk",25.6849
"47087","county",2023,"employment_rnk",6.538
"47089","county",2023,"employment_rnk",40.3798
"47091","county",2023,"employment_rnk",14.9128
"47093","county",2023,"employment_rnk",81.0087
"47095","county",2023,"employment_rnk",1.9925
"47097","county",2023,"employment_rnk",29.4832
"47099","county",2023,"employment_rnk",37.7024
"47101","county",2023,"employment_rnk",34.6202
"47103","county",2023,"employment_rnk",70.5168
"47105","county",2023,"employment_rnk",67.4035
"47107","county",2023,"employment_rnk",40.0374
"47109","county",2023,"employment_rnk",38.792
"47111","county",2023,"employment_rnk",41.594
"47113","county",2023,"employment_rnk",34.9004
"47115","county",2023,"employment_rnk",21.264
"47117","county",2023,"employment_rnk",81.4446
"47119","county",2023,"employment_rnk",87.9203
"47121","county",2023,"employment_rnk",21.0772
"47123","county",2023,"employment_rnk",27.8643
"47125","county",2023,"employment_rnk",59.6513
"47127","county",2023,"employment_rnk",56.538
"47129","county",2023,"employment_rnk",26.2765
"47131","county",2023,"employment_rnk",40.7846
"47133","county",2023,"employment_rnk",43.6177
"47135","county",2023,"employment_rnk",13.6364
"47137","county",2023,"employment_rnk",21.2017
"47139","county",2023,"employment_rnk",45.8904
"47141","county",2023,"employment_rnk",40.2553
"47143","county",2023,"employment_rnk",27.0859
"47145","county",2023,"employment_rnk",52.8954
"47147","county",2023,"employment_rnk",86.3636
"47149","county",2023,"employment_rnk",89.6326
"47151","county",2023,"employment_rnk",11.5193
"47153","county",2023,"employment_rnk",6.6002
"47155","county",2023,"employment_rnk",42.4035
"47157","county",2023,"employment_rnk",64.259
"47159","county",2023,"employment_rnk",71.2017
"47161","county",2023,"employment_rnk",41.9365
"47163","county",2023,"employment_rnk",42.7148
"47165","county",2023,"employment_rnk",91.9054
"47167","county",2023,"employment_rnk",69.0535
"47169","county",2023,"employment_rnk",62.7646
"47171","county",2023,"employment_rnk",40.3487
"47173","county",2023,"employment_rnk",55.5106
"47175","county",2023,"employment_rnk",37.2976
"47177","county",2023,"employment_rnk",26.1208
"47179","county",2023,"employment_rnk",49.4707
"47181","county",2023,"employment_rnk",30.4795
"47183","county",2023,"employment_rnk",33.1569
"47185","county",2023,"employment_rnk",27.8643
"47187","county",2023,"employment_rnk",99.3151
"47189","county",2023,"employment_rnk",95.4857
"47001","county",2023,"employment_state_rnk",75.5319
"47003","county",2023,"employment_state_rnk",73.4043
"47005","county",2023,"employment_state_rnk",30.8511
"47007","county",2023,"employment_state_rnk",4.2553
"47009","county",2023,"employment_state_rnk",86.1702
"47011","county",2023,"employment_state_rnk",65.9574
"47013","county",2023,"employment_state_rnk",15.9574
"47015","county",2023,"employment_state_rnk",80.8511
"47017","county",2023,"employment_state_rnk",44.6809
"47019","county",2023,"employment_state_rnk",13.8298
"47021","county",2023,"employment_state_rnk",95.7447
"47023","county",2023,"employment_state_rnk",70.2128
"47025","county",2023,"employment_state_rnk",25.5319
"47027","county",2023,"employment_state_rnk",14.8936
"47029","county",2023,"employment_state_rnk",22.3404
"47031","county",2023,"employment_state_rnk",58.5106
"47033","county",2023,"employment_state_rnk",77.6596
"47035","county",2023,"employment_state_rnk",18.0851
"47037","county",2023,"employment_state_rnk",96.8085
"47039","county",2023,"employment_state_rnk",11.7021
"47041","county",2023,"employment_state_rnk",39.3617
"47043","county",2023,"employment_state_rnk",91.4894
"47045","county",2023,"employment_state_rnk",68.0851
"47047","county",2023,"employment_state_rnk",87.234
"47049","county",2023,"employment_state_rnk",8.5106
"47051","county",2023,"employment_state_rnk",76.5957
"47053","county",2023,"employment_state_rnk",63.8298
"47055","county",2023,"employment_state_rnk",64.8936
"47057","county",2023,"employment_state_rnk",24.4681
"47059","county",2023,"employment_state_rnk",36.1702
"47061","county",2023,"employment_state_rnk",6.383
"47063","county",2023,"employment_state_rnk",37.234
"47065","county",2023,"employment_state_rnk",88.2979
"47067","county",2023,"employment_state_rnk",1.0638
"47069","county",2023,"employment_state_rnk",5.3191
"47071","county",2023,"employment_state_rnk",17.0213
"47073","county",2023,"employment_state_rnk",23.4043
"47075","county",2023,"employment_state_rnk",10.6383
"47077","county",2023,"employment_state_rnk",45.7447
"47079","county",2023,"employment_state_rnk",40.4255
"47081","county",2023,"employment_state_rnk",59.5745
"47083","county",2023,"employment_state_rnk",28.7234
"47085","county",2023,"employment_state_rnk",26.5957
"47087","county",2023,"employment_state_rnk",2.1277
"47089","county",2023,"employment_state_rnk",53.1915
"47091","county",2023,"employment_state_rnk",12.766
"47093","county",2023,"employment_state_rnk",89.3617
"47095","county",2023,"employment_state_rnk",0
"47097","county",2023,"employment_state_rnk",35.1064
"47099","county",2023,"employment_state_rnk",47.8723
"47101","county",2023,"employment_state_rnk",42.5532
"47103","county",2023,"employment_state_rnk",84.0426
