"geoid","geolevel","year","level","value"
"16001000101","tract",2023,"employment_score",65.78
"16001000102","tract",2023,"employment_score",90.8
"16001000201","tract",2023,"employment_score",116.46
"16001000202","tract",2023,"employment_score",116.95
"16001000302","tract",2023,"employment_score",101.63
"16001000303","tract",2023,"employment_score",107.5
"16001000305","tract",2023,"employment_score",112.81
"16001000306","tract",2023,"employment_score",114.92
"16001000401","tract",2023,"employment_score",111.94
"16001000402","tract",2023,"employment_score",104.58
"16001000501","tract",2023,"employment_score",115.5
"16001000502","tract",2023,"employment_score",122.51
"16001000601","tract",2023,"employment_score",118.87
"16001000602","tract",2023,"employment_score",117.15
"16001000701","tract",2023,"employment_score",120.95
"16001000703","tract",2023,"employment_score",138.73
"16001000704","tract",2023,"employment_score",121.85
"16001000803","tract",2023,"employment_score",121.46
"16001000805","tract",2023,"employment_score",126.52
"16001000806","tract",2023,"employment_score",88.99
"16001000807","tract",2023,"employment_score",109.56
"16001000808","tract",2023,"employment_score",134.39
"16001000809","tract",2023,"employment_score",112.99
"16001000810","tract",2023,"employment_score",124.74
"16001000901","tract",2023,"employment_score",97.54
"16001000902","tract",2023,"employment_score",NA
"16001001001","tract",2023,"employment_score",104.76
"16001001002","tract",2023,"employment_score",38.84
"16001001003","tract",2023,"employment_score",103.05
"16001001100","tract",2023,"employment_score",92.38
"16001001201","tract",2023,"employment_score",98.56
"16001001203","tract",2023,"employment_score",104.92
"16001001204","tract",2023,"employment_score",92.21
"16001001401","tract",2023,"employment_score",112.1
"16001001402","tract",2023,"employment_score",95.78
"16001001500","tract",2023,"employment_score",110.61
"16001001600","tract",2023,"employment_score",92.5
"16001001701","tract",2023,"employment_score",84.85
"16001001702","tract",2023,"employment_score",93.53
"16001001800","tract",2023,"employment_score",104.17
"16001001900","tract",2023,"employment_score",99.84
"16001002000","tract",2023,"employment_score",89.43
"16001002100","tract",2023,"employment_score",107.54
"16001002223","tract",2023,"employment_score",108.85
"16001002225","tract",2023,"employment_score",115.5
"16001002226","tract",2023,"employment_score",128.48
"16001002227","tract",2023,"employment_score",109.75
"16001002228","tract",2023,"employment_score",107.62
"16001002229","tract",2023,"employment_score",109.79
"16001002230","tract",2023,"employment_score",116.36
"16001002231","tract",2023,"employment_score",98.23
"16001002313","tract",2023,"employment_score",101.56
"16001002314","tract",2023,"employment_score",103.37
"16001002315","tract",2023,"employment_score",108.39
"16001002316","tract",2023,"employment_score",103.51
"16001002317","tract",2023,"employment_score",98.75
"16001002318","tract",2023,"employment_score",104.36
"16001002319","tract",2023,"employment_score",89.73
"16001002412","tract",2023,"employment_score",100.13
"16001002414","tract",2023,"employment_score",93.45
"16001002415","tract",2023,"employment_score",110.78
"16001002416","tract",2023,"employment_score",106.53
"16001002417","tract",2023,"employment_score",106.69
"16001002418","tract",2023,"employment_score",96.87
"16001002419","tract",2023,"employment_score",103.64
"16001010101","tract",2023,"employment_score",120.14
"16001010102","tract",2023,"employment_score",116.17
"16001010224","tract",2023,"employment_score",105.44
"16001010226","tract",2023,"employment_score",99.38
"16001010227","tract",2023,"employment_score",103.32
"16001010228","tract",2023,"employment_score",86.74
"16001010229","tract",2023,"employment_score",109.24
"16001010230","tract",2023,"employment_score",103.68
"16001010231","tract",2023,"employment_score",103.28
"16001010232","tract",2023,"employment_score",97.15
"16001010233","tract",2023,"employment_score",107.41
"16001010234","tract",2023,"employment_score",97.42
"16001010235","tract",2023,"employment_score",102.26
"16001010236","tract",2023,"employment_score",102.35
"16001010237","tract",2023,"employment_score",106.11
"16001010336","tract",2023,"employment_score",105.2
"16001010337","tract",2023,"employment_score",108.19
"16001010338","tract",2023,"employment_score",115.25
"16001010339","tract",2023,"employment_score",118.29
"16001010340","tract",2023,"employment_score",109.91
"16001010341","tract",2023,"employment_score",124.08
"16001010342","tract",2023,"employment_score",118.28
"16001010343","tract",2023,"employment_score",106.18
"16001010344","tract",2023,"employment_score",114.05
"16001010345","tract",2023,"employment_score",110.5
"16001010346","tract",2023,"employment_score",107.25
"16001010347","tract",2023,"employment_score",97.03
"16001010348","tract",2023,"employment_score",101.94
"16001010349","tract",2023,"employment_score",124.38
"16001010350","tract",2023,"employment_score",81.03
"16001010351","tract",2023,"employment_score",112.2
"16001010352","tract",2023,"employment_score",116.96
"16001010353","tract",2023,"employment_score",112.47
"16001010354","tract",2023,"employment_score",96.36
"16001010355","tract",2023,"employment_score",124.99
"16001010356","tract",2023,"employment_score",115.96
"16001010357","tract",2023,"employment_score",126.74
"16001010358","tract",2023,"employment_score",103.81
"16001010359","tract",2023,"employment_score",111.63
"16001010360","tract",2023,"employment_score",96.2
"16001010361","tract",2023,"employment_score",114.87
"16001010362","tract",2023,"employment_score",116.15
"16001010363","tract",2023,"employment_score",109.81
"16001010364","tract",2023,"employment_score",99.44
"16001010365","tract",2023,"employment_score",101.34
"16001010366","tract",2023,"employment_score",112.18
"16001010367","tract",2023,"employment_score",108.82
"16001010368","tract",2023,"employment_score",101.16
"16001010369","tract",2023,"employment_score",113.38
"16001010370","tract",2023,"employment_score",114.54
"16001010371","tract",2023,"employment_score",92.51
"16001010403","tract",2023,"employment_score",113.12
"16001010404","tract",2023,"employment_score",103.01
"16001010405","tract",2023,"employment_score",108.93
"16001010406","tract",2023,"employment_score",105.47
"16001010407","tract",2023,"employment_score",112.22
"16001010408","tract",2023,"employment_score",108.85
"16001010409","tract",2023,"employment_score",102.09
"16001010410","tract",2023,"employment_score",111.29
"16001010411","tract",2023,"employment_score",120.93
"16001010501","tract",2023,"employment_score",NA
"16001010503","tract",2023,"employment_score",121.33
"16001010505","tract",2023,"employment_score",113.19
"16001010506","tract",2023,"employment_score",122
"16003950100","tract",2023,"employment_score",92.73
"16003950200","tract",2023,"employment_score",83.89
"16005000200","tract",2023,"employment_score",101.08
"16005000301","tract",2023,"employment_score",81.25
"16005000302","tract",2023,"employment_score",106.65
"16005000400","tract",2023,"employment_score",100.95
"16005000500","tract",2023,"employment_score",85.68
"16005000600","tract",2023,"employment_score",73.87
"16005000700","tract",2023,"employment_score",72.1
"16005000800","tract",2023,"employment_score",51.56
"16005000900","tract",2023,"employment_score",81.99
"16005001000","tract",2023,"employment_score",85.84
"16005001102","tract",2023,"employment_score",94.02
"16005001103","tract",2023,"employment_score",106.35
"16005001104","tract",2023,"employment_score",100.69
"16005001200","tract",2023,"employment_score",93.38
"16005001300","tract",2023,"employment_score",79.06
"16005001400","tract",2023,"employment_score",77.75
"16005001500","tract",2023,"employment_score",87.91
"16005001601","tract",2023,"employment_score",82.02
"16005001602","tract",2023,"employment_score",88.23
"16005001603","tract",2023,"employment_score",60.36
"16005001700","tract",2023,"employment_score",104.07
"16005001900","tract",2023,"employment_score",85.72
"16005940000","tract",2023,"employment_score",84.42
"16005981800","tract",2023,"employment_score",88.64
"16007950100","tract",2023,"employment_score",81.73
"16007950200","tract",2023,"employment_score",84.61
"16009940000","tract",2023,"employment_score",88.16
"16009950100","tract",2023,"employment_score",76.65
"16011940000","tract",2023,"employment_score",78.95
"16011950101","tract",2023,"employment_score",103.24
"16011950102","tract",2023,"employment_score",85.77
"16011950200","tract",2023,"employment_score",92.68
"16011950300","tract",2023,"employment_score",95.1
"16011950400","tract",2023,"employment_score",93.07
"16011950501","tract",2023,"employment_score",97.38
"16011950502","tract",2023,"employment_score",60.14
"16011950600","tract",2023,"employment_score",81.41
"16011950700","tract",2023,"employment_score",100.17
"16013960101","tract",2023,"employment_score",79.5
"16013960102","tract",2023,"employment_score",94.38
"16013960201","tract",2023,"employment_score",98.51
"16013960202","tract",2023,"employment_score",92.33
"16013960301","tract",2023,"employment_score",99.72
"16013960302","tract",2023,"employment_score",90
"16013960501","tract",2023,"employment_score",79.83
"16013960502","tract",2023,"employment_score",99.91
"16015950201","tract",2023,"employment_score",110.24
"16015950202","tract",2023,"employment_score",73.81
"16015950203","tract",2023,"employment_score",93.64
"16017950100","tract",2023,"employment_score",72.52
"16017950201","tract",2023,"employment_score",85.41
"16017950202","tract",2023,"employment_score",78.25
"16017950203","tract",2023,"employment_score",86.34
