"geoid","geolevel","year","level","value"
"20001952600","tract",2023,"employment_score",95.23
"20001952700","tract",2023,"employment_score",94.3
"20001952800","tract",2023,"employment_score",73.73
"20001952900","tract",2023,"employment_score",94.39
"20001953000","tract",2023,"employment_score",86.48
"20003953600","tract",2023,"employment_score",98.2
"20003953700","tract",2023,"employment_score",95.62
"20005081600","tract",2023,"employment_score",101.41
"20005081701","tract",2023,"employment_score",100.88
"20005081702","tract",2023,"employment_score",NA
"20005081800","tract",2023,"employment_score",87.5
"20005081900","tract",2023,"employment_score",77.54
"20007968100","tract",2023,"employment_score",94.11
"20007968200","tract",2023,"employment_score",98.72
"20009971100","tract",2023,"employment_score",88.16
"20009971200","tract",2023,"employment_score",93.79
"20009971300","tract",2023,"employment_score",93.11
"20009971400","tract",2023,"employment_score",85.51
"20009971500","tract",2023,"employment_score",111.97
"20009971600","tract",2023,"employment_score",91.58
"20009971700","tract",2023,"employment_score",87.8
"20009971801","tract",2023,"employment_score",93.59
"20011955600","tract",2023,"employment_score",94.73
"20011955700","tract",2023,"employment_score",97
"20011955800","tract",2023,"employment_score",88.65
"20011955900","tract",2023,"employment_score",84.39
"20011956000","tract",2023,"employment_score",87.97
"20013480600","tract",2023,"employment_score",94.26
"20013480700","tract",2023,"employment_score",91.41
"20013480800","tract",2023,"employment_score",88.78
"20015020101","tract",2023,"employment_score",99.75
"20015020102","tract",2023,"employment_score",NA
"20015020204","tract",2023,"employment_score",123.21
"20015020205","tract",2023,"employment_score",91.16
"20015020206","tract",2023,"employment_score",112.26
"20015020207","tract",2023,"employment_score",111.72
"20015020208","tract",2023,"employment_score",125.95
"20015020209","tract",2023,"employment_score",111.25
"20015020210","tract",2023,"employment_score",111.04
"20015020300","tract",2023,"employment_score",103.04
"20015020400","tract",2023,"employment_score",84.39
"20015020500","tract",2023,"employment_score",93.4
"20015020601","tract",2023,"employment_score",105.23
"20015020602","tract",2023,"employment_score",97.21
"20015020700","tract",2023,"employment_score",87.97
"20015020800","tract",2023,"employment_score",81.56
"20015020901","tract",2023,"employment_score",114.89
"20015020902","tract",2023,"employment_score",113.26
"20015020903","tract",2023,"employment_score",103.18
"20017960600","tract",2023,"employment_score",94.06
"20019964600","tract",2023,"employment_score",82.45
"20021958100","tract",2023,"employment_score",94.28
"20021958200","tract",2023,"employment_score",100.15
"20021958300","tract",2023,"employment_score",85.95
"20021958400","tract",2023,"employment_score",102.01
"20021958500","tract",2023,"employment_score",86.17
"20021958600","tract",2023,"employment_score",84.69
"20023950200","tract",2023,"employment_score",87.89
"20025967100","tract",2023,"employment_score",103.84
"20027458100","tract",2023,"employment_score",95.65
"20027458200","tract",2023,"employment_score",90.64
"20029977100","tract",2023,"employment_score",90.07
"20029977200","tract",2023,"employment_score",99.76
"20029977300","tract",2023,"employment_score",82.47
"20029977400","tract",2023,"employment_score",100.77
"20031966100","tract",2023,"employment_score",97.09
"20031966200","tract",2023,"employment_score",95.25
"20031966300","tract",2023,"employment_score",88.02
"20033967600","tract",2023,"employment_score",90.27
"20035493100","tract",2023,"employment_score",96.52
"20035493200","tract",2023,"employment_score",101.01
"20035493300","tract",2023,"employment_score",110.96
"20035493400","tract",2023,"employment_score",81.15
"20035493500","tract",2023,"employment_score",74.15
"20035493600","tract",2023,"employment_score",94.02
"20035493700","tract",2023,"employment_score",93.82
"20035493800","tract",2023,"employment_score",96.83
"20035493900","tract",2023,"employment_score",100.74
"20035494000","tract",2023,"employment_score",69.92
"20035494100","tract",2023,"employment_score",75.08
"20037956600","tract",2023,"employment_score",99.03
"20037956700","tract",2023,"employment_score",83.19
"20037956800","tract",2023,"employment_score",82.94
"20037956900","tract",2023,"employment_score",111.14
"20037957000","tract",2023,"employment_score",92.54
"20037957100","tract",2023,"employment_score",68.21
"20037957200","tract",2023,"employment_score",88.94
"20037957300","tract",2023,"employment_score",87.19
"20037957400","tract",2023,"employment_score",93.09
"20037957500","tract",2023,"employment_score",67.04
"20037957601","tract",2023,"employment_score",79.29
"20037957602","tract",2023,"employment_score",49.13
"20039951300","tract",2023,"employment_score",98.49
"20041084100","tract",2023,"employment_score",98.05
"20041084200","tract",2023,"employment_score",112.96
"20041084300","tract",2023,"employment_score",96.73
"20041084400","tract",2023,"employment_score",102.21
"20041084500","tract",2023,"employment_score",100.99
"20041084600","tract",2023,"employment_score",98.35
"20043020100","tract",2023,"employment_score",75.69
"20043020200","tract",2023,"employment_score",107.04
"20043020300","tract",2023,"employment_score",110.71
"20045000100","tract",2023,"employment_score",95.09
"20045000201","tract",2023,"employment_score",107.16
"20045000202","tract",2023,"employment_score",91.09
"20045000301","tract",2023,"employment_score",34.71
"20045000302","tract",2023,"employment_score",58.59
"20045000400","tract",2023,"employment_score",NA
"20045000501","tract",2023,"employment_score",101.58
"20045000502","tract",2023,"employment_score",80.75
"20045000602","tract",2023,"employment_score",124.2
"20045000603","tract",2023,"employment_score",111.8
"20045000604","tract",2023,"employment_score",112.05
"20045000701","tract",2023,"employment_score",114.5
"20045000703","tract",2023,"employment_score",99.98
"20045000704","tract",2023,"employment_score",83.82
"20045000797","tract",2023,"employment_score",102.95
"20045000801","tract",2023,"employment_score",76.98
"20045000802","tract",2023,"employment_score",88.93
"20045000902","tract",2023,"employment_score",75.95
"20045000903","tract",2023,"employment_score",69.98
"20045000904","tract",2023,"employment_score",76.01
"20045001001","tract",2023,"employment_score",94.9
"20045001002","tract",2023,"employment_score",113.06
"20045001201","tract",2023,"employment_score",123.52
"20045001202","tract",2023,"employment_score",109.43
"20045001203","tract",2023,"employment_score",101.19
"20045001400","tract",2023,"employment_score",108.43
"20045001500","tract",2023,"employment_score",110.24
"20047969600","tract",2023,"employment_score",89.88
"20047969700","tract",2023,"employment_score",97.85
"20049965100","tract",2023,"employment_score",80.41
"20051072600","tract",2023,"employment_score",103.68
"20051072701","tract",2023,"employment_score",99.9
"20051072702","tract",2023,"employment_score",105.95
"20051072801","tract",2023,"employment_score",107.34
"20051072802","tract",2023,"employment_score",100.24
"20051072901","tract",2023,"employment_score",70.46
"20051072902","tract",2023,"employment_score",NA
"20051073000","tract",2023,"employment_score",104.77
"20053086600","tract",2023,"employment_score",99.82
"20053086700","tract",2023,"employment_score",96.97
"20055960100","tract",2023,"employment_score",103.36
"20055960200","tract",2023,"employment_score",109.87
"20055960300","tract",2023,"employment_score",100.03
"20055960401","tract",2023,"employment_score",113.29
"20055960403","tract",2023,"employment_score",106.98
"20055960404","tract",2023,"employment_score",113.33
"20055960501","tract",2023,"employment_score",85.65
"20055960503","tract",2023,"employment_score",99.86
"20055960505","tract",2023,"employment_score",90.78
"20055960507","tract",2023,"employment_score",91.09
"20055960508","tract",2023,"employment_score",107.42
"20055960600","tract",2023,"employment_score",95.83
"20057961600","tract",2023,"employment_score",114.81
"20057961700","tract",2023,"employment_score",98.88
"20057961801","tract",2023,"employment_score",117.21
"20057961802","tract",2023,"employment_score",111.17
"20057961901","tract",2023,"employment_score",101.14
"20057961902","tract",2023,"employment_score",92.34
"20057962000","tract",2023,"employment_score",92.12
"20057962101","tract",2023,"employment_score",101.1
"20057962102","tract",2023,"employment_score",95.38
"20059954101","tract",2023,"employment_score",106.75
"20059954102","tract",2023,"employment_score",108.35
"20059954200","tract",2023,"employment_score",96.91
"20059954300","tract",2023,"employment_score",102.81
"20059954400","tract",2023,"employment_score",91.18
"20059954500","tract",2023,"employment_score",104.04
"20061000100","tract",2023,"employment_score",55.25
"20061000200","tract",2023,"employment_score",92.26
"20061000300","tract",2023,"employment_score",89.82
"20061000401","tract",2023,"employment_score",92.46
"20061000402","tract",2023,"employment_score",89.37
"20061000500","tract",2023,"employment_score",89.87
"20061000601","tract",2023,"employment_score",76.85
"20061000602","tract",2023,"employment_score",92.29
"20061000700","tract",2023,"employment_score",90.56
"20061000801","tract",2023,"employment_score",88.64
"20061000802","tract",2023,"employment_score",94.75
"20063955300","tract",2023,"employment_score",98.51
"20065952300","tract",2023,"employment_score",89.35
"20067963600","tract",2023,"employment_score",117.38
"20067963700","tract",2023,"employment_score",99.72
"20069962600","tract",2023,"employment_score",111.74
"20069962700","tract",2023,"employment_score",100.27
"20071958100","tract",2023,"employment_score",100.95
"20073965600","tract",2023,"employment_score",96.52
"20073965700","tract",2023,"employment_score",75.11
"20073965800","tract",2023,"employment_score",94.65
"20075958600","tract",2023,"employment_score",100.44
"20077961600","tract",2023,"employment_score",100.35
"20077961700","tract",2023,"employment_score",77.53
"20077961800","tract",2023,"employment_score",88.91
"20079030100","tract",2023,"employment_score",86.59
"20079030200","tract",2023,"employment_score",92.65
"20079030300","tract",2023,"employment_score",100.21
"20079030400","tract",2023,"employment_score",100.58
"20079030500","tract",2023,"employment_score",101.6
"20079030601","tract",2023,"employment_score",113.79
"20079030602","tract",2023,"employment_score",95.18
"20081463100","tract",2023,"employment_score",100.64
"20083461100","tract",2023,"employment_score",106.66
"20085082600","tract",2023,"employment_score",104.41
"20085082700","tract",2023,"employment_score",87.68
"20085082800","tract",2023,"employment_score",103.84
"20087020101","tract",2023,"employment_score",109.03
"20087020102","tract",2023,"employment_score",104.95
"20087020200","tract",2023,"employment_score",105.48
"20087020300","tract",2023,"employment_score",112.91
"20089576300","tract",2023,"employment_score",89.59
"20091050000","tract",2023,"employment_score",127.85
