"geoid","geolevel","year","level","value"
"22001960101","tract",2023,"employment_score",83.25
"22001960102","tract",2023,"employment_score",64.99
"22001960201","tract",2023,"employment_score",99.59
"22001960202","tract",2023,"employment_score",125.55
"22001960300","tract",2023,"employment_score",103.59
"22001960401","tract",2023,"employment_score",92.47
"22001960402","tract",2023,"employment_score",87.28
"22001960403","tract",2023,"employment_score",93.95
"22001960501","tract",2023,"employment_score",68.78
"22001960502","tract",2023,"employment_score",87.48
"22001960503","tract",2023,"employment_score",98.62
"22001960601","tract",2023,"employment_score",86.4
"22001960602","tract",2023,"employment_score",81.02
"22001960700","tract",2023,"employment_score",71.54
"22001960801","tract",2023,"employment_score",54.91
"22001960802","tract",2023,"employment_score",99.43
"22001960901","tract",2023,"employment_score",48.19
"22001960902","tract",2023,"employment_score",66
"22001961000","tract",2023,"employment_score",54.46
"22001961100","tract",2023,"employment_score",84.69
"22001961200","tract",2023,"employment_score",93.28
"22003950100","tract",2023,"employment_score",83.23
"22003950201","tract",2023,"employment_score",84.58
"22003950202","tract",2023,"employment_score",NA
"22003950300","tract",2023,"employment_score",60.29
"22003950400","tract",2023,"employment_score",83.67
"22003950501","tract",2023,"employment_score",87.91
"22003950502","tract",2023,"employment_score",60.28
"22005030102","tract",2023,"employment_score",108.85
"22005030104","tract",2023,"employment_score",118.65
"22005030105","tract",2023,"employment_score",111.85
"22005030106","tract",2023,"employment_score",120.57
"22005030107","tract",2023,"employment_score",97.8
"22005030207","tract",2023,"employment_score",127.67
"22005030208","tract",2023,"employment_score",127.9
"22005030209","tract",2023,"employment_score",117.06
"22005030210","tract",2023,"employment_score",120.33
"22005030211","tract",2023,"employment_score",116.98
"22005030212","tract",2023,"employment_score",118.34
"22005030213","tract",2023,"employment_score",112.66
"22005030214","tract",2023,"employment_score",109.86
"22005030215","tract",2023,"employment_score",109.66
"22005030301","tract",2023,"employment_score",122.33
"22005030302","tract",2023,"employment_score",116.55
"22005030303","tract",2023,"employment_score",106.82
"22005030304","tract",2023,"employment_score",137.38
"22005030403","tract",2023,"employment_score",104.03
"22005030404","tract",2023,"employment_score",90.98
"22005030405","tract",2023,"employment_score",89.39
"22005030406","tract",2023,"employment_score",107.61
"22005030501","tract",2023,"employment_score",119.02
"22005030502","tract",2023,"employment_score",114.93
"22005030503","tract",2023,"employment_score",108.74
"22005030600","tract",2023,"employment_score",103.95
"22005030900","tract",2023,"employment_score",70.37
"22005031001","tract",2023,"employment_score",78.74
"22005031002","tract",2023,"employment_score",68.8
"22007050100","tract",2023,"employment_score",96.53
"22007050201","tract",2023,"employment_score",97.58
"22007050202","tract",2023,"employment_score",102.94
"22007050300","tract",2023,"employment_score",104.49
"22007050400","tract",2023,"employment_score",80.75
"22007050500","tract",2023,"employment_score",73.95
"22007050600","tract",2023,"employment_score",87.22
"22009030100","tract",2023,"employment_score",89.65
"22009030200","tract",2023,"employment_score",83.76
"22009030300","tract",2023,"employment_score",86.1
"22009030401","tract",2023,"employment_score",82.24
"22009030402","tract",2023,"employment_score",48.96
"22009030501","tract",2023,"employment_score",85.23
"22009030502","tract",2023,"employment_score",71.41
"22009030600","tract",2023,"employment_score",50.83
"22009030701","tract",2023,"employment_score",NA
"22009030702","tract",2023,"employment_score",68.24
"22009030800","tract",2023,"employment_score",88.36
"22009030900","tract",2023,"employment_score",60.82
"22011960101","tract",2023,"employment_score",99.63
"22011960102","tract",2023,"employment_score",88.3
"22011960200","tract",2023,"employment_score",102.71
"22011960300","tract",2023,"employment_score",74.93
"22011960400","tract",2023,"employment_score",88.41
"22011960500","tract",2023,"employment_score",93.61
"22011960600","tract",2023,"employment_score",89.46
"22011960701","tract",2023,"employment_score",104.86
"22011960702","tract",2023,"employment_score",96.46
"22013970100","tract",2023,"employment_score",70.5
"22013970200","tract",2023,"employment_score",67.94
"22013970300","tract",2023,"employment_score",54.09
"22013970400","tract",2023,"employment_score",87.93
"22013970500","tract",2023,"employment_score",84.98
"22015010400","tract",2023,"employment_score",50.6
"22015010500","tract",2023,"employment_score",62.47
"22015010601","tract",2023,"employment_score",68.88
"22015010602","tract",2023,"employment_score",70.84
"22015010701","tract",2023,"employment_score",67.45
"22015010702","tract",2023,"employment_score",78.1
"22015010801","tract",2023,"employment_score",83.71
"22015010805","tract",2023,"employment_score",111.93
"22015010806","tract",2023,"employment_score",97.27
"22015010807","tract",2023,"employment_score",116.37
"22015010808","tract",2023,"employment_score",105.19
"22015010900","tract",2023,"employment_score",95.56
"22015011002","tract",2023,"employment_score",110.72
"22015011003","tract",2023,"employment_score",105.68
"22015011004","tract",2023,"employment_score",80.9
"22015011107","tract",2023,"employment_score",82.17
"22015011111","tract",2023,"employment_score",61.56
"22015011112","tract",2023,"employment_score",92.64
"22015011113","tract",2023,"employment_score",104.32
"22015011114","tract",2023,"employment_score",86.29
"22015011115","tract",2023,"employment_score",113.22
"22015011116","tract",2023,"employment_score",115.22
"22015011117","tract",2023,"employment_score",116.54
"22015011118","tract",2023,"employment_score",91.1
"22015011119","tract",2023,"employment_score",101.89
"22015011120","tract",2023,"employment_score",106.21
"22015011121","tract",2023,"employment_score",69.5
"22015011122","tract",2023,"employment_score",125.41
"22015011123","tract",2023,"employment_score",118.04
"22015011124","tract",2023,"employment_score",103.55
"22015011201","tract",2023,"employment_score",77.32
"22015011202","tract",2023,"employment_score",107.51
"22015011300","tract",2023,"employment_score",25.53
"22017020500","tract",2023,"employment_score",46.53
"22017020600","tract",2023,"employment_score",61.36
"22017020700","tract",2023,"employment_score",34.28
"22017021000","tract",2023,"employment_score",92.21
"22017021100","tract",2023,"employment_score",69.98
"22017021200","tract",2023,"employment_score",75.84
"22017021300","tract",2023,"employment_score",69.78
"22017021400","tract",2023,"employment_score",83.62
"22017021500","tract",2023,"employment_score",99.45
"22017021600","tract",2023,"employment_score",107.72
"22017021700","tract",2023,"employment_score",46.15
"22017021800","tract",2023,"employment_score",45.61
"22017021900","tract",2023,"employment_score",43.78
"22017022000","tract",2023,"employment_score",29.27
"22017022101","tract",2023,"employment_score",68.83
"22017022102","tract",2023,"employment_score",39.43
"22017022200","tract",2023,"employment_score",70.16
"22017022300","tract",2023,"employment_score",44.44
"22017022400","tract",2023,"employment_score",54.2
"22017022500","tract",2023,"employment_score",48.32
