"geoid","geolevel","year","level","value"
"26001000100","tract",2023,"employment_score",85.35
"26001970100","tract",2023,"employment_score",73.11
"26001970400","tract",2023,"employment_score",82.58
"26001970500","tract",2023,"employment_score",69.98
"26001970600","tract",2023,"employment_score",87.56
"26001990000","tract",2023,"employment_score",NA
"26003000100","tract",2023,"employment_score",87.2
"26003000200","tract",2023,"employment_score",73.82
"26003000300","tract",2023,"employment_score",76.97
"26003990000","tract",2023,"employment_score",NA
"26005030200","tract",2023,"employment_score",116.76
"26005030301","tract",2023,"employment_score",116.42
"26005030302","tract",2023,"employment_score",109.87
"26005030402","tract",2023,"employment_score",111.27
"26005030403","tract",2023,"employment_score",108.72
"26005030404","tract",2023,"employment_score",113.92
"26005030501","tract",2023,"employment_score",97.85
"26005030502","tract",2023,"employment_score",101.02
"26005030600","tract",2023,"employment_score",99.07
"26005030702","tract",2023,"employment_score",107.98
"26005030703","tract",2023,"employment_score",103.94
"26005030704","tract",2023,"employment_score",105.64
"26005030801","tract",2023,"employment_score",106.62
"26005030802","tract",2023,"employment_score",85.65
"26005030901","tract",2023,"employment_score",102.74
"26005030902","tract",2023,"employment_score",97.59
"26005031001","tract",2023,"employment_score",65.49
"26005031002","tract",2023,"employment_score",88.86
"26005031101","tract",2023,"employment_score",114.09
"26005031102","tract",2023,"employment_score",103.74
"26005031200","tract",2023,"employment_score",86.17
"26005031300","tract",2023,"employment_score",101.24
"26005031800","tract",2023,"employment_score",110.94
"26005031900","tract",2023,"employment_score",94.85
"26005032000","tract",2023,"employment_score",90.52
"26005032100","tract",2023,"employment_score",109.43
"26005032200","tract",2023,"employment_score",106.56
"26005032401","tract",2023,"employment_score",88.72
"26005032402","tract",2023,"employment_score",105.95
"26005032600","tract",2023,"employment_score",91.04
"26005990000","tract",2023,"employment_score",NA
"26007000101","tract",2023,"employment_score",82.37
"26007000102","tract",2023,"employment_score",96.37
"26007000200","tract",2023,"employment_score",89.67
"26007000300","tract",2023,"employment_score",88.88
"26007000400","tract",2023,"employment_score",62.36
"26007000500","tract",2023,"employment_score",58.91
"26007000600","tract",2023,"employment_score",95.88
"26007000700","tract",2023,"employment_score",87.98
"26007000800","tract",2023,"employment_score",82.17
"26007000900","tract",2023,"employment_score",81.76
"26007990000","tract",2023,"employment_score",NA
"26009960100","tract",2023,"employment_score",90.59
"26009960200","tract",2023,"employment_score",86.78
"26009960300","tract",2023,"employment_score",97.24
"26009960401","tract",2023,"employment_score",78.99
"26009960402","tract",2023,"employment_score",93.11
"26009960501","tract",2023,"employment_score",99.26
"26009960502","tract",2023,"employment_score",123.3
"26009960600","tract",2023,"employment_score",100.06
"26009960701","tract",2023,"employment_score",93.93
"26009960702","tract",2023,"employment_score",73.08
"26009990000","tract",2023,"employment_score",NA
"26011970100","tract",2023,"employment_score",98.32
"26011970200","tract",2023,"employment_score",90.21
"26011970300","tract",2023,"employment_score",88.18
"26011970400","tract",2023,"employment_score",89.46
"26011970500","tract",2023,"employment_score",97.42
"26011990000","tract",2023,"employment_score",NA
"26011990100","tract",2023,"employment_score",NA
"26013000100","tract",2023,"employment_score",96.74
"26013000200","tract",2023,"employment_score",74.74
"26013990100","tract",2023,"employment_score",NA
"26015010100","tract",2023,"employment_score",91.24
"26015010200","tract",2023,"employment_score",106.18
"26015010301","tract",2023,"employment_score",122.05
"26015010302","tract",2023,"employment_score",109.12
"26015010401","tract",2023,"employment_score",105.89
"26015010403","tract",2023,"employment_score",101.13
"26015010404","tract",2023,"employment_score",104.67
"26015010500","tract",2023,"employment_score",100.13
"26015010601","tract",2023,"employment_score",104.98
"26015010602","tract",2023,"employment_score",88.95
"26015010700","tract",2023,"employment_score",94.15
"26015010800","tract",2023,"employment_score",85.74
"26015011301","tract",2023,"employment_score",89.75
"26015011302","tract",2023,"employment_score",108.65
"26015011401","tract",2023,"employment_score",94.89
"26015011402","tract",2023,"employment_score",120.28
"26017280300","tract",2023,"employment_score",64.51
"26017280400","tract",2023,"employment_score",98.96
"26017280500","tract",2023,"employment_score",92.53
"26017280600","tract",2023,"employment_score",74.33
"26017280700","tract",2023,"employment_score",55.85
"26017280800","tract",2023,"employment_score",91.58
"26017280900","tract",2023,"employment_score",65.81
"26017281000","tract",2023,"employment_score",77.26
"26017281300","tract",2023,"employment_score",74.81
"26017285100","tract",2023,"employment_score",94.19
"26017285201","tract",2023,"employment_score",83.92
"26017285202","tract",2023,"employment_score",85.59
"26017285300","tract",2023,"employment_score",95.14
"26017285400","tract",2023,"employment_score",102.6
"26017285500","tract",2023,"employment_score",107.66
"26017285600","tract",2023,"employment_score",110.25
"26017285700","tract",2023,"employment_score",98.2
"26017285800","tract",2023,"employment_score",92.18
"26017285900","tract",2023,"employment_score",84.64
"26017286000","tract",2023,"employment_score",110.57
"26017286101","tract",2023,"employment_score",88.05
"26017286102","tract",2023,"employment_score",122.4
"26017286200","tract",2023,"employment_score",104.29
"26017286300","tract",2023,"employment_score",71.91
"26017286400","tract",2023,"employment_score",70.91
"26017286500","tract",2023,"employment_score",63.2
"26017286600","tract",2023,"employment_score",97.5
"26017990000","tract",2023,"employment_score",NA
"26019000101","tract",2023,"employment_score",92.31
"26019000102","tract",2023,"employment_score",79.83
"26019000200","tract",2023,"employment_score",87.27
"26019000300","tract",2023,"employment_score",74.7
"26019000400","tract",2023,"employment_score",73.69
"26019000500","tract",2023,"employment_score",81.21
"26019990000","tract",2023,"employment_score",NA
"26021000300","tract",2023,"employment_score",29.81
"26021000400","tract",2023,"employment_score",63.95
"26021000500","tract",2023,"employment_score",54.32
"26021000600","tract",2023,"employment_score",46.44
"26021000700","tract",2023,"employment_score",81.32
"26021000801","tract",2023,"employment_score",106.97
"26021000802","tract",2023,"employment_score",111.28
"26021000900","tract",2023,"employment_score",112.15
"26021001000","tract",2023,"employment_score",106.15
"26021001100","tract",2023,"employment_score",123.07
"26021001300","tract",2023,"employment_score",121.04
"26021001400","tract",2023,"employment_score",114.45
"26021001500","tract",2023,"employment_score",112.13
