"geoid","geolevel","year","level","value"
"27001770100","tract",2023,"employment_score",83.46
"27001770200","tract",2023,"employment_score",72.94
"27001770300","tract",2023,"employment_score",81.06
"27001770401","tract",2023,"employment_score",84.21
"27001770402","tract",2023,"employment_score",73.54
"27001790501","tract",2023,"employment_score",83.72
"27001790503","tract",2023,"employment_score",92.09
"27001790504","tract",2023,"employment_score",88.28
"27003050107","tract",2023,"employment_score",110.83
"27003050108","tract",2023,"employment_score",114.93
"27003050109","tract",2023,"employment_score",119.77
"27003050110","tract",2023,"employment_score",117.91
"27003050111","tract",2023,"employment_score",125.33
"27003050114","tract",2023,"employment_score",115.37
"27003050115","tract",2023,"employment_score",121.63
"27003050116","tract",2023,"employment_score",119.74
"27003050208","tract",2023,"employment_score",119.45
"27003050210","tract",2023,"employment_score",117.02
"27003050215","tract",2023,"employment_score",117.92
"27003050216","tract",2023,"employment_score",127.21
"27003050217","tract",2023,"employment_score",126.5
"27003050218","tract",2023,"employment_score",110.44
"27003050219","tract",2023,"employment_score",118.27
"27003050220","tract",2023,"employment_score",125.41
"27003050222","tract",2023,"employment_score",127.6
"27003050223","tract",2023,"employment_score",112.74
"27003050224","tract",2023,"employment_score",126.89
"27003050226","tract",2023,"employment_score",113.21
"27003050227","tract",2023,"employment_score",117.12
"27003050228","tract",2023,"employment_score",113.43
"27003050229","tract",2023,"employment_score",113.32
"27003050230","tract",2023,"employment_score",135.16
"27003050232","tract",2023,"employment_score",126.15
"27003050233","tract",2023,"employment_score",128.02
"27003050234","tract",2023,"employment_score",117.42
"27003050235","tract",2023,"employment_score",104.77
"27003050236","tract",2023,"employment_score",133.8
"27003050237","tract",2023,"employment_score",113.24
"27003050238","tract",2023,"employment_score",118.81
"27003050239","tract",2023,"employment_score",127.01
"27003050240","tract",2023,"employment_score",117.65
"27003050241","tract",2023,"employment_score",122.66
"27003050401","tract",2023,"employment_score",110.77
"27003050402","tract",2023,"employment_score",98.14
"27003050501","tract",2023,"employment_score",100.22
"27003050504","tract",2023,"employment_score",105.62
"27003050505","tract",2023,"employment_score",112.36
"27003050602","tract",2023,"employment_score",105
"27003050605","tract",2023,"employment_score",104.66
"27003050606","tract",2023,"employment_score",91.2
"27003050607","tract",2023,"employment_score",102.66
"27003050608","tract",2023,"employment_score",108.54
"27003050609","tract",2023,"employment_score",116.12
"27003050611","tract",2023,"employment_score",112.49
"27003050612","tract",2023,"employment_score",110.77
"27003050702","tract",2023,"employment_score",114.57
"27003050704","tract",2023,"employment_score",104.78
"27003050706","tract",2023,"employment_score",108.66
"27003050707","tract",2023,"employment_score",113.18
"27003050709","tract",2023,"employment_score",118.92
"27003050710","tract",2023,"employment_score",102.63
"27003050711","tract",2023,"employment_score",114.38
"27003050712","tract",2023,"employment_score",99.97
"27003050807","tract",2023,"employment_score",106.35
"27003050808","tract",2023,"employment_score",106.75
"27003050810","tract",2023,"employment_score",90.02
"27003050811","tract",2023,"employment_score",111.12
"27003050816","tract",2023,"employment_score",110.69
"27003050818","tract",2023,"employment_score",131.58
"27003050819","tract",2023,"employment_score",124.12
"27003050820","tract",2023,"employment_score",120.92
"27003050821","tract",2023,"employment_score",119.51
"27003050822","tract",2023,"employment_score",110.99
"27003050823","tract",2023,"employment_score",111.71
"27003050824","tract",2023,"employment_score",102.06
"27003050825","tract",2023,"employment_score",108.95
"27003050826","tract",2023,"employment_score",106.1
"27003050827","tract",2023,"employment_score",111.43
"27003050828","tract",2023,"employment_score",99.65
"27003050829","tract",2023,"employment_score",123.06
"27003050901","tract",2023,"employment_score",98.76
"27003050902","tract",2023,"employment_score",116.63
"27003051001","tract",2023,"employment_score",101.62
"27003051002","tract",2023,"employment_score",114.78
"27003051101","tract",2023,"employment_score",113.61
"27003051102","tract",2023,"employment_score",107.5
"27003051103","tract",2023,"employment_score",98.91
"27003051201","tract",2023,"employment_score",102.03
"27003051202","tract",2023,"employment_score",90.34
"27003051203","tract",2023,"employment_score",108.05
"27003051206","tract",2023,"employment_score",102.28
"27003051302","tract",2023,"employment_score",106.33
"27003051304","tract",2023,"employment_score",102.05
"27003051305","tract",2023,"employment_score",96.51
"27003051400","tract",2023,"employment_score",92.36
"27003051501","tract",2023,"employment_score",91.7
"27003051502","tract",2023,"employment_score",106.08
"27003051600","tract",2023,"employment_score",118.24
"27005450100","tract",2023,"employment_score",87.62
"27005450200","tract",2023,"employment_score",98.96
"27005450300","tract",2023,"employment_score",98.06
"27005450400","tract",2023,"employment_score",111.52
"27005450500","tract",2023,"employment_score",83.81
"27005450600","tract",2023,"employment_score",87.68
"27005450700","tract",2023,"employment_score",94.88
"27005450800","tract",2023,"employment_score",107.39
"27005450900","tract",2023,"employment_score",103.59
"27005940000","tract",2023,"employment_score",77.4
"27007450101","tract",2023,"employment_score",96.02
"27007450102","tract",2023,"employment_score",97.81
"27007450201","tract",2023,"employment_score",114.98
"27007450202","tract",2023,"employment_score",100.16
"27007450300","tract",2023,"employment_score",104.74
"27007450400","tract",2023,"employment_score",92.3
"27007450500","tract",2023,"employment_score",90.45
"27007450600","tract",2023,"employment_score",61.32
"27007450703","tract",2023,"employment_score",75.32
"27007450704","tract",2023,"employment_score",74.01
"27007450705","tract",2023,"employment_score",96.15
"27007450706","tract",2023,"employment_score",77.69
"27007940001","tract",2023,"employment_score",67.27
"27007940002","tract",2023,"employment_score",82.48
"27009020100","tract",2023,"employment_score",104.23
"27009020202","tract",2023,"employment_score",116.79
"27009020203","tract",2023,"employment_score",125.03
"27009020205","tract",2023,"employment_score",119.2
"27009020206","tract",2023,"employment_score",98.43
"27009020300","tract",2023,"employment_score",116.24
"27009021102","tract",2023,"employment_score",101.61
"27009021103","tract",2023,"employment_score",97.15
"27009021104","tract",2023,"employment_score",115.7
"27009021201","tract",2023,"employment_score",74.94
"27011950100","tract",2023,"employment_score",99.12
"27011950200","tract",2023,"employment_score",91.65
"27011950300","tract",2023,"employment_score",81.48
"27013170100","tract",2023,"employment_score",114.7
"27013170200","tract",2023,"employment_score",106.52
"27013170300","tract",2023,"employment_score",94.59
"27013170400","tract",2023,"employment_score",94.27
"27013170500","tract",2023,"employment_score",99.02
"27013170600","tract",2023,"employment_score",70.45
"27013170700","tract",2023,"employment_score",53.84
"27013170800","tract",2023,"employment_score",105.42
"27013170900","tract",2023,"employment_score",109.68
"27013171000","tract",2023,"employment_score",111.21
"27013171101","tract",2023,"employment_score",NA
"27013171202","tract",2023,"employment_score",59.92
"27013171300","tract",2023,"employment_score",116.67
"27013171400","tract",2023,"employment_score",110.68
"27013171500","tract",2023,"employment_score",105.12
"27013171600","tract",2023,"employment_score",87.27
"27015960101","tract",2023,"employment_score",92.68
"27015960102","tract",2023,"employment_score",76.17
"27015960200","tract",2023,"employment_score",99.47
"27015960300","tract",2023,"employment_score",108.01
"27015960400","tract",2023,"employment_score",102.47
"27015960500","tract",2023,"employment_score",105.91
"27015960600","tract",2023,"employment_score",99.43
"27015960700","tract",2023,"employment_score",108.96
"27017070100","tract",2023,"employment_score",101.17
"27017070200","tract",2023,"employment_score",94.1
"27017070300","tract",2023,"employment_score",118.9
"27017070401","tract",2023,"employment_score",106.41
"27017070402","tract",2023,"employment_score",109.63
"27017070501","tract",2023,"employment_score",NA
"27017070502","tract",2023,"employment_score",101.28
"27017070600","tract",2023,"employment_score",97.03
"27017940000","tract",2023,"employment_score",91.11
"27019090101","tract",2023,"employment_score",122.61
"27019090102","tract",2023,"employment_score",107.61
"27019090200","tract",2023,"employment_score",123.54
"27019090302","tract",2023,"employment_score",124.5
"27019090303","tract",2023,"employment_score",107.54
"27019090304","tract",2023,"employment_score",124.58
"27019090401","tract",2023,"employment_score",133.69
"27019090402","tract",2023,"employment_score",125.56
"27019090501","tract",2023,"employment_score",121.16
"27019090502","tract",2023,"employment_score",124.66
"27019090503","tract",2023,"employment_score",124.16
"27019090601","tract",2023,"employment_score",118.6
"27019090602","tract",2023,"employment_score",126.32
"27019090702","tract",2023,"employment_score",133.71
"27019090703","tract",2023,"employment_score",117.9
"27019090704","tract",2023,"employment_score",130.97
"27019090801","tract",2023,"employment_score",122.49
"27019090802","tract",2023,"employment_score",136.53
"27019090901","tract",2023,"employment_score",115.54
"27019090902","tract",2023,"employment_score",132.65
"27019091001","tract",2023,"employment_score",113.51
"27019091002","tract",2023,"employment_score",131.23
"27019091100","tract",2023,"employment_score",129.49
"27019091201","tract",2023,"employment_score",107.88
"27019091202","tract",2023,"employment_score",128.71
"27021940001","tract",2023,"employment_score",81.03
"27021940002","tract",2023,"employment_score",67.95
"27021960100","tract",2023,"employment_score",74.74
"27021960200","tract",2023,"employment_score",77.18
"27021960301","tract",2023,"employment_score",75.2
"27021960302","tract",2023,"employment_score",77.06
"27021960600","tract",2023,"employment_score",84.31
"27021960700","tract",2023,"employment_score",84.15
"27021960801","tract",2023,"employment_score",105.1
"27021960803","tract",2023,"employment_score",96.01
"27021960804","tract",2023,"employment_score",99.5
"27023950300","tract",2023,"employment_score",94.9
"27023950400","tract",2023,"employment_score",107.7
"27023950500","tract",2023,"employment_score",94.51
"27023950601","tract",2023,"employment_score",91.08
"27023950602","tract",2023,"employment_score",90.67
"27025110100","tract",2023,"employment_score",109.46
"27025110201","tract",2023,"employment_score",NA
"27025110202","tract",2023,"employment_score",104.73
"27025110301","tract",2023,"employment_score",114.35
"27025110302","tract",2023,"employment_score",107.97
"27025110402","tract",2023,"employment_score",109.99
"27025110403","tract",2023,"employment_score",124.47
"27025110404","tract",2023,"employment_score",101.99
"27025110501","tract",2023,"employment_score",109.03
"27025110503","tract",2023,"employment_score",107.21
"27025110504","tract",2023,"employment_score",105.24
"27025110600","tract",2023,"employment_score",117.17
"27025110700","tract",2023,"employment_score",107.82
"27027020300","tract",2023,"employment_score",72.02
"27027020400","tract",2023,"employment_score",NA
"27027020500","tract",2023,"employment_score",100.37
"27027020600","tract",2023,"employment_score",98.87
"27027020700","tract",2023,"employment_score",93.58
"27027030106","tract",2023,"employment_score",113.29
"27027030107","tract",2023,"employment_score",109.7
"27027030108","tract",2023,"employment_score",79.7
"27027030109","tract",2023,"employment_score",109.17
"27027030110","tract",2023,"employment_score",114.44
"27027030111","tract",2023,"employment_score",110
"27027030112","tract",2023,"employment_score",114.79
"27027030201","tract",2023,"employment_score",113.93
"27027030202","tract",2023,"employment_score",120.56
"27027030300","tract",2023,"employment_score",91.59
"27027030400","tract",2023,"employment_score",121.76
"27029000100","tract",2023,"employment_score",91.92
"27029000200","tract",2023,"employment_score",82.47
"27029000300","tract",2023,"employment_score",83.61
"27031480101","tract",2023,"employment_score",87.32
"27031480102","tract",2023,"employment_score",94.62
"27031480200","tract",2023,"employment_score",93.85
"27031990000","tract",2023,"employment_score",NA
"27033270100","tract",2023,"employment_score",95.87
"27033270200","tract",2023,"employment_score",88.59
"27033270300","tract",2023,"employment_score",110.61
"27033270400","tract",2023,"employment_score",89.93
"27035950100","tract",2023,"employment_score",85.76
"27035950204","tract",2023,"employment_score",90.6
"27035950401","tract",2023,"employment_score",96.81
"27035950402","tract",2023,"employment_score",96.19
"27035950501","tract",2023,"employment_score",102.01
"27035950502","tract",2023,"employment_score",89.75
"27035950701","tract",2023,"employment_score",81.9
"27035950702","tract",2023,"employment_score",80.51
"27035950801","tract",2023,"employment_score",95.61
"27035950802","tract",2023,"employment_score",102.14
"27035950901","tract",2023,"employment_score",112.65
"27035950902","tract",2023,"employment_score",103.92
"27035951000","tract",2023,"employment_score",92.67
"27035951100","tract",2023,"employment_score",72.39
"27035951200","tract",2023,"employment_score",84.65
"27035951301","tract",2023,"employment_score",96.72
"27035951303","tract",2023,"employment_score",96.34
"27035951304","tract",2023,"employment_score",90.6
"27035951400","tract",2023,"employment_score",104
"27035951600","tract",2023,"employment_score",86.86
"27035951700","tract",2023,"employment_score",101.13
"27037060101","tract",2023,"employment_score",114.5
"27037060102","tract",2023,"employment_score",107.71
"27037060103","tract",2023,"employment_score",117.49
"27037060104","tract",2023,"employment_score",104.71
"27037060105","tract",2023,"employment_score",84.1
"27037060201","tract",2023,"employment_score",111.62
"27037060202","tract",2023,"employment_score",106.52
"27037060301","tract",2023,"employment_score",102.13
"27037060302","tract",2023,"employment_score",106.69
"27037060401","tract",2023,"employment_score",104.84
"27037060402","tract",2023,"employment_score",97.32
"27037060502","tract",2023,"employment_score",108.02
"27037060503","tract",2023,"employment_score",105.46
"27037060505","tract",2023,"employment_score",113.49
"27037060506","tract",2023,"employment_score",113.05
"27037060507","tract",2023,"employment_score",123.44
"27037060508","tract",2023,"employment_score",127.55
"27037060509","tract",2023,"employment_score",122.79
"27037060603","tract",2023,"employment_score",122.95
"27037060604","tract",2023,"employment_score",120.51
"27037060605","tract",2023,"employment_score",110.96
"27037060606","tract",2023,"employment_score",123.1
"27037060709","tract",2023,"employment_score",100.49
"27037060710","tract",2023,"employment_score",95.12
"27037060711","tract",2023,"employment_score",91.65
"27037060713","tract",2023,"employment_score",114.7
"27037060714","tract",2023,"employment_score",95.75
"27037060716","tract",2023,"employment_score",123.31
"27037060717","tract",2023,"employment_score",127.57
"27037060721","tract",2023,"employment_score",108.95
"27037060725","tract",2023,"employment_score",111.74
"27037060726","tract",2023,"employment_score",101.7
"27037060727","tract",2023,"employment_score",120.88
"27037060728","tract",2023,"employment_score",128.19
"27037060729","tract",2023,"employment_score",127.14
"27037060731","tract",2023,"employment_score",126.21
"27037060732","tract",2023,"employment_score",125.72
"27037060733","tract",2023,"employment_score",104
"27037060734","tract",2023,"employment_score",129.85
"27037060735","tract",2023,"employment_score",105.34
"27037060737","tract",2023,"employment_score",108.26
"27037060738","tract",2023,"employment_score",109.86
"27037060739","tract",2023,"employment_score",105.76
"27037060742","tract",2023,"employment_score",117.81
"27037060743","tract",2023,"employment_score",111.91
"27037060744","tract",2023,"employment_score",122.98
"27037060745","tract",2023,"employment_score",108.59
"27037060746","tract",2023,"employment_score",100.83
"27037060747","tract",2023,"employment_score",120.13
"27037060748","tract",2023,"employment_score",104.21
"27037060749","tract",2023,"employment_score",95.63
"27037060750","tract",2023,"employment_score",116.88
"27037060751","tract",2023,"employment_score",130.36
