"geoid","geolevel","year","level","value"
"27006","zcta",2023,"employment_score",114.65
"27007","zcta",2023,"employment_score",105.19
"27009","zcta",2023,"employment_score",103.57
"27011","zcta",2023,"employment_score",104.37
"27012","zcta",2023,"employment_score",114.74
"27013","zcta",2023,"employment_score",100.29
"27014","zcta",2023,"employment_score",87.61
"27016","zcta",2023,"employment_score",102.15
"27017","zcta",2023,"employment_score",93.76
"27018","zcta",2023,"employment_score",99.27
"27019","zcta",2023,"employment_score",84.26
"27020","zcta",2023,"employment_score",91.07
"27021","zcta",2023,"employment_score",103.99
"27022","zcta",2023,"employment_score",91.93
"27023","zcta",2023,"employment_score",117.35
"27024","zcta",2023,"employment_score",90.91
"27025","zcta",2023,"employment_score",96.09
"27027","zcta",2023,"employment_score",93.31
"27028","zcta",2023,"employment_score",98.51
"27030","zcta",2023,"employment_score",91.16
"27040","zcta",2023,"employment_score",113.79
"27041","zcta",2023,"employment_score",97.33
"27042","zcta",2023,"employment_score",139.28
"27043","zcta",2023,"employment_score",100.7
"27045","zcta",2023,"employment_score",103.01
"27046","zcta",2023,"employment_score",91.64
"27047","zcta",2023,"employment_score",100.81
"27048","zcta",2023,"employment_score",94.46
"27050","zcta",2023,"employment_score",105.44
"27051","zcta",2023,"employment_score",94.88
"27052","zcta",2023,"employment_score",92.41
"27053","zcta",2023,"employment_score",84.89
"27054","zcta",2023,"employment_score",114.01
"27055","zcta",2023,"employment_score",99.07
"27101","zcta",2023,"employment_score",88.81
"27103","zcta",2023,"employment_score",104.38
"27104","zcta",2023,"employment_score",114.59
"27105","zcta",2023,"employment_score",72.96
"27106","zcta",2023,"employment_score",100.27
"27107","zcta",2023,"employment_score",92.34
"27109","zcta",2023,"employment_score",NA
"27110","zcta",2023,"employment_score",NA
"27127","zcta",2023,"employment_score",99.77
"27201","zcta",2023,"employment_score",103.27
"27202","zcta",2023,"employment_score",NA
"27203","zcta",2023,"employment_score",86.07
"27205","zcta",2023,"employment_score",98.61
"27207","zcta",2023,"employment_score",118.81
"27208","zcta",2023,"employment_score",97.74
"27209","zcta",2023,"employment_score",79.77
"27212","zcta",2023,"employment_score",NA
"27213","zcta",2023,"employment_score",NA
"27214","zcta",2023,"employment_score",107.46
"27215","zcta",2023,"employment_score",108.29
"27217","zcta",2023,"employment_score",87.04
"27229","zcta",2023,"employment_score",88.26
"27231","zcta",2023,"employment_score",104.93
"27233","zcta",2023,"employment_score",109.48
"27235","zcta",2023,"employment_score",120.08
"27239","zcta",2023,"employment_score",94.29
"27242","zcta",2023,"employment_score",91.07
"27243","zcta",2023,"employment_score",118.55
"27244","zcta",2023,"employment_score",88.38
"27247","zcta",2023,"employment_score",8.54
"27248","zcta",2023,"employment_score",94.81
"27249","zcta",2023,"employment_score",102.74
"27252","zcta",2023,"employment_score",101.41
"27253","zcta",2023,"employment_score",99.7
"27256","zcta",2023,"employment_score",NA
"27258","zcta",2023,"employment_score",105.34
"27259","zcta",2023,"employment_score",NA
"27260","zcta",2023,"employment_score",68.58
"27262","zcta",2023,"employment_score",89.37
"27263","zcta",2023,"employment_score",91.4
"27265","zcta",2023,"employment_score",112.18
"27268","zcta",2023,"employment_score",NA
"27278","zcta",2023,"employment_score",118.04
"27281","zcta",2023,"employment_score",92.3
"27282","zcta",2023,"employment_score",112.16
"27283","zcta",2023,"employment_score",108.78
"27284","zcta",2023,"employment_score",111.22
"27288","zcta",2023,"employment_score",85.75
"27291","zcta",2023,"employment_score",112.79
"27292","zcta",2023,"employment_score",90.46
"27295","zcta",2023,"employment_score",104.79
"27298","zcta",2023,"employment_score",93.69
"27299","zcta",2023,"employment_score",102.03
"27301","zcta",2023,"employment_score",107.9
"27302","zcta",2023,"employment_score",112.75
"27305","zcta",2023,"employment_score",73.74
"27306","zcta",2023,"employment_score",93.77
"27310","zcta",2023,"employment_score",128.1
"27311","zcta",2023,"employment_score",73.08
"27312","zcta",2023,"employment_score",118.5
"27313","zcta",2023,"employment_score",112.14
"27314","zcta",2023,"employment_score",85.12
"27315","zcta",2023,"employment_score",103.21
"27316","zcta",2023,"employment_score",95.99
"27317","zcta",2023,"employment_score",89.18
"27320","zcta",2023,"employment_score",92.01
"27325","zcta",2023,"employment_score",91.25
"27326","zcta",2023,"employment_score",98.6
"27330","zcta",2023,"employment_score",97.45
"27332","zcta",2023,"employment_score",96.93
