"geoid","geolevel","year","level","value"
"79837","zcta",2023,"employment_score",110.97
"86515","zcta",2023,"employment_score",93.9
"87001","zcta",2023,"employment_score",74.94
"87002","zcta",2023,"employment_score",79.83
"87004","zcta",2023,"employment_score",95.37
"87005","zcta",2023,"employment_score",NA
"87006","zcta",2023,"employment_score",94.88
"87007","zcta",2023,"employment_score",60.34
"87008","zcta",2023,"employment_score",107.61
"87010","zcta",2023,"employment_score",80.84
"87011","zcta",2023,"employment_score",NA
"87012","zcta",2023,"employment_score",50.2
"87013","zcta",2023,"employment_score",43.98
"87014","zcta",2023,"employment_score",36.83
"87015","zcta",2023,"employment_score",102.66
"87016","zcta",2023,"employment_score",53.46
"87017","zcta",2023,"employment_score",88.01
"87018","zcta",2023,"employment_score",20.77
"87020","zcta",2023,"employment_score",77.33
"87021","zcta",2023,"employment_score",78.04
"87022","zcta",2023,"employment_score",86.55
"87023","zcta",2023,"employment_score",51.13
"87024","zcta",2023,"employment_score",97.26
"87025","zcta",2023,"employment_score",117
"87026","zcta",2023,"employment_score",77.57
"87027","zcta",2023,"employment_score",-13.09
"87028","zcta",2023,"employment_score",59.17
"87029","zcta",2023,"employment_score",90
"87031","zcta",2023,"employment_score",86.86
"87032","zcta",2023,"employment_score",158.14
"87034","zcta",2023,"employment_score",80.62
"87035","zcta",2023,"employment_score",65.1
"87036","zcta",2023,"employment_score",57.77
"87037","zcta",2023,"employment_score",51.62
"87038","zcta",2023,"employment_score",69.82
"87040","zcta",2023,"employment_score",60.76
"87041","zcta",2023,"employment_score",98.31
"87042","zcta",2023,"employment_score",112.9
"87043","zcta",2023,"employment_score",111.5
"87044","zcta",2023,"employment_score",69.61
"87045","zcta",2023,"employment_score",45.25
"87046","zcta",2023,"employment_score",40.52
"87047","zcta",2023,"employment_score",111.16
"87048","zcta",2023,"employment_score",104.2
"87049","zcta",2023,"employment_score",NA
"87051","zcta",2023,"employment_score",32.3
"87052","zcta",2023,"employment_score",73.57
"87053","zcta",2023,"employment_score",80.97
"87056","zcta",2023,"employment_score",86.79
"87059","zcta",2023,"employment_score",106.36
"87060","zcta",2023,"employment_score",NA
"87061","zcta",2023,"employment_score",83.63
"87062","zcta",2023,"employment_score",70.4
"87063","zcta",2023,"employment_score",72.34
"87064","zcta",2023,"employment_score",90.66
"87068","zcta",2023,"employment_score",98.83
"87070","zcta",2023,"employment_score",NA
"87072","zcta",2023,"employment_score",77.87
"87083","zcta",2023,"employment_score",102.81
"87101","zcta",2023,"employment_score",NA
"87102","zcta",2023,"employment_score",79.14
"87104","zcta",2023,"employment_score",104.37
"87105","zcta",2023,"employment_score",75.7
"87106","zcta",2023,"employment_score",88.35
"87107","zcta",2023,"employment_score",94.01
"87108","zcta",2023,"employment_score",77.3
"87109","zcta",2023,"employment_score",101.68
"87110","zcta",2023,"employment_score",96.87
"87111","zcta",2023,"employment_score",116.6
"87112","zcta",2023,"employment_score",103.07
"87113","zcta",2023,"employment_score",125.9
"87114","zcta",2023,"employment_score",111.85
"87116","zcta",2023,"employment_score",107.34
"87117","zcta",2023,"employment_score",NA
"87120","zcta",2023,"employment_score",111.87
"87121","zcta",2023,"employment_score",83.87
"87122","zcta",2023,"employment_score",133.33
"87123","zcta",2023,"employment_score",91
"87124","zcta",2023,"employment_score",105.21
"87144","zcta",2023,"employment_score",108.91
"87151","zcta",2023,"employment_score",NA
"87301","zcta",2023,"employment_score",84.95
"87305","zcta",2023,"employment_score",71.76
"87310","zcta",2023,"employment_score",69.27
"87311","zcta",2023,"employment_score",53.51
"87312","zcta",2023,"employment_score",64.38
"87313","zcta",2023,"employment_score",65.1
"87315","zcta",2023,"employment_score",102.33
"87316","zcta",2023,"employment_score",76.97
"87317","zcta",2023,"employment_score",54.59
"87319","zcta",2023,"employment_score",50.83
"87320","zcta",2023,"employment_score",70.36
"87321","zcta",2023,"employment_score",77.87
"87322","zcta",2023,"employment_score",59.04
"87323","zcta",2023,"employment_score",65.33
"87325","zcta",2023,"employment_score",57.61
"87326","zcta",2023,"employment_score",42.9
"87327","zcta",2023,"employment_score",70.49
"87328","zcta",2023,"employment_score",54.46
"87347","zcta",2023,"employment_score",79.93
"87357","zcta",2023,"employment_score",63.08
"87364","zcta",2023,"employment_score",53.92
"87365","zcta",2023,"employment_score",NA
"87375","zcta",2023,"employment_score",62.44
"87401","zcta",2023,"employment_score",80.93
"87402","zcta",2023,"employment_score",104.96
"87410","zcta",2023,"employment_score",82.96
"87412","zcta",2023,"employment_score",54.66
"87413","zcta",2023,"employment_score",80.81
"87415","zcta",2023,"employment_score",93.56
"87416","zcta",2023,"employment_score",66.35
"87417","zcta",2023,"employment_score",80.64
"87418","zcta",2023,"employment_score",102.55
"87419","zcta",2023,"employment_score",55
"87420","zcta",2023,"employment_score",69.48
"87421","zcta",2023,"employment_score",81.82
"87455","zcta",2023,"employment_score",70.44
"87461","zcta",2023,"employment_score",51.36
"87499","zcta",2023,"employment_score",66.6
"87501","zcta",2023,"employment_score",104.15
"87505","zcta",2023,"employment_score",99.24
"87506","zcta",2023,"employment_score",101.48
"87507","zcta",2023,"employment_score",92.28
"87508","zcta",2023,"employment_score",98.35
"87510","zcta",2023,"employment_score",104.31
"87511","zcta",2023,"employment_score",98.81
"87512","zcta",2023,"employment_score",49.89
"87513","zcta",2023,"employment_score",115.07
"87514","zcta",2023,"employment_score",74.57
"87515","zcta",2023,"employment_score",108.82
"87516","zcta",2023,"employment_score",103.49
"87517","zcta",2023,"employment_score",27.95
"87518","zcta",2023,"employment_score",NA
"87519","zcta",2023,"employment_score",96.95
"87520","zcta",2023,"employment_score",88.22
"87521","zcta",2023,"employment_score",77.84
"87522","zcta",2023,"employment_score",100.07
"87523","zcta",2023,"employment_score",38.19
"87524","zcta",2023,"employment_score",110.73
"87525","zcta",2023,"employment_score",NA
"87527","zcta",2023,"employment_score",69.71
"87528","zcta",2023,"employment_score",90.85
"87529","zcta",2023,"employment_score",68.34
"87530","zcta",2023,"employment_score",29.68
"87531","zcta",2023,"employment_score",54.89
"87532","zcta",2023,"employment_score",95.43
"87535","zcta",2023,"employment_score",100.52
"87537","zcta",2023,"employment_score",86.41
"87538","zcta",2023,"employment_score",98.5
"87539","zcta",2023,"employment_score",37.76
"87540","zcta",2023,"employment_score",96.63
"87543","zcta",2023,"employment_score",128.5
"87544","zcta",2023,"employment_score",145.95
"87547","zcta",2023,"employment_score",148.63
"87548","zcta",2023,"employment_score",103.29
"87549","zcta",2023,"employment_score",123.12
"87551","zcta",2023,"employment_score",66.67
"87552","zcta",2023,"employment_score",92.85
"87553","zcta",2023,"employment_score",74.28
"87554","zcta",2023,"employment_score",NA
"87556","zcta",2023,"employment_score",79.04
"87557","zcta",2023,"employment_score",79.87
"87558","zcta",2023,"employment_score",72.48
"87560","zcta",2023,"employment_score",65.75
"87562","zcta",2023,"employment_score",70.47
"87564","zcta",2023,"employment_score",84.99
"87565","zcta",2023,"employment_score",1.85
"87566","zcta",2023,"employment_score",94.75
"87567","zcta",2023,"employment_score",98.33
"87569","zcta",2023,"employment_score",119.45
"87571","zcta",2023,"employment_score",71.4
"87573","zcta",2023,"employment_score",NA
"87575","zcta",2023,"employment_score",91.45
"87577","zcta",2023,"employment_score",26.4
"87578","zcta",2023,"employment_score",43.16
"87579","zcta",2023,"employment_score",90.67
"87580","zcta",2023,"employment_score",54.95
"87581","zcta",2023,"employment_score",NA
"87582","zcta",2023,"employment_score",127.79
"87583","zcta",2023,"employment_score",67.6
"87701","zcta",2023,"employment_score",68.9
"87710","zcta",2023,"employment_score",70.51
"87711","zcta",2023,"employment_score",36.4
"87712","zcta",2023,"employment_score",29.98
"87713","zcta",2023,"employment_score",95.04
"87714","zcta",2023,"employment_score",69.73
"87715","zcta",2023,"employment_score",74.32
"87718","zcta",2023,"employment_score",46.74
"87722","zcta",2023,"employment_score",110.21
"87723","zcta",2023,"employment_score",101.87
"87724","zcta",2023,"employment_score",NA
"87728","zcta",2023,"employment_score",73.12
"87729","zcta",2023,"employment_score",NA
"87730","zcta",2023,"employment_score",NA
"87731","zcta",2023,"employment_score",37.73
"87732","zcta",2023,"employment_score",59.43
"87733","zcta",2023,"employment_score",NA
"87734","zcta",2023,"employment_score",42.19
"87735","zcta",2023,"employment_score",NA
"87736","zcta",2023,"employment_score",NA
"87740","zcta",2023,"employment_score",71.88
"87742","zcta",2023,"employment_score",30.82
"87743","zcta",2023,"employment_score",87.14
"87745","zcta",2023,"employment_score",64.13
"87746","zcta",2023,"employment_score",95.46
"87747","zcta",2023,"employment_score",72.07
"87749","zcta",2023,"employment_score",NA
"87750","zcta",2023,"employment_score",NA
"87752","zcta",2023,"employment_score",72.39
"87753","zcta",2023,"employment_score",NA
"87801","zcta",2023,"employment_score",75.98
