"geoid","geolevel","year","level","value"
"73960","zcta",2023,"employment_score",NA
"75001","zcta",2023,"employment_score",135.87
"75002","zcta",2023,"employment_score",126.94
"75006","zcta",2023,"employment_score",116.67
"75007","zcta",2023,"employment_score",123.18
"75009","zcta",2023,"employment_score",136.1
"75010","zcta",2023,"employment_score",135.17
"75013","zcta",2023,"employment_score",141.95
"75019","zcta",2023,"employment_score",144.2
"75020","zcta",2023,"employment_score",97.82
"75021","zcta",2023,"employment_score",104.25
"75022","zcta",2023,"employment_score",138.13
"75023","zcta",2023,"employment_score",125.55
"75024","zcta",2023,"employment_score",143.27
"75025","zcta",2023,"employment_score",135.66
"75028","zcta",2023,"employment_score",138.46
"75032","zcta",2023,"employment_score",123.41
"75033","zcta",2023,"employment_score",137.45
"75034","zcta",2023,"employment_score",135.84
"75035","zcta",2023,"employment_score",144.28
"75036","zcta",2023,"employment_score",139.22
"75038","zcta",2023,"employment_score",121.16
"75039","zcta",2023,"employment_score",155.64
"75040","zcta",2023,"employment_score",104.39
"75041","zcta",2023,"employment_score",92.04
"75042","zcta",2023,"employment_score",90.92
"75043","zcta",2023,"employment_score",100.42
"75044","zcta",2023,"employment_score",116.87
"75048","zcta",2023,"employment_score",129.95
"75050","zcta",2023,"employment_score",101.53
"75051","zcta",2023,"employment_score",92.22
"75052","zcta",2023,"employment_score",114.73
"75054","zcta",2023,"employment_score",136.35
"75056","zcta",2023,"employment_score",138.5
"75057","zcta",2023,"employment_score",109.52
"75058","zcta",2023,"employment_score",125.07
"75060","zcta",2023,"employment_score",98.14
"75061","zcta",2023,"employment_score",97.04
"75062","zcta",2023,"employment_score",104.13
"75063","zcta",2023,"employment_score",145.82
"75065","zcta",2023,"employment_score",123.24
"75067","zcta",2023,"employment_score",118.26
"75068","zcta",2023,"employment_score",132.96
"75069","zcta",2023,"employment_score",111.19
"75070","zcta",2023,"employment_score",136.17
"75071","zcta",2023,"employment_score",132.47
"75072","zcta",2023,"employment_score",134.89
"75074","zcta",2023,"employment_score",112.64
"75075","zcta",2023,"employment_score",121.58
"75076","zcta",2023,"employment_score",104.99
"75077","zcta",2023,"employment_score",126.29
"75078","zcta",2023,"employment_score",142.91
"75080","zcta",2023,"employment_score",113.13
"75081","zcta",2023,"employment_score",118.93
"75082","zcta",2023,"employment_score",132.46
"75087","zcta",2023,"employment_score",130.34
"75088","zcta",2023,"employment_score",121.84
"75089","zcta",2023,"employment_score",125.72
"75090","zcta",2023,"employment_score",97.52
"75092","zcta",2023,"employment_score",111.64
"75093","zcta",2023,"employment_score",139.11
"75094","zcta",2023,"employment_score",129.28
"75098","zcta",2023,"employment_score",124.2
"75101","zcta",2023,"employment_score",91.79
"75102","zcta",2023,"employment_score",106.26
"75103","zcta",2023,"employment_score",103.16
"75104","zcta",2023,"employment_score",113.41
"75105","zcta",2023,"employment_score",105.74
"75109","zcta",2023,"employment_score",92.69
"75110","zcta",2023,"employment_score",89.43
"75114","zcta",2023,"employment_score",111.9
"75115","zcta",2023,"employment_score",108.61
"75116","zcta",2023,"employment_score",91.61
"75117","zcta",2023,"employment_score",102.86
"75119","zcta",2023,"employment_score",110.98
"75124","zcta",2023,"employment_score",96.36
"75125","zcta",2023,"employment_score",107.55
"75126","zcta",2023,"employment_score",125.38
"75127","zcta",2023,"employment_score",91.76
"75132","zcta",2023,"employment_score",NA
"75134","zcta",2023,"employment_score",105.17
"75135","zcta",2023,"employment_score",112.84
"75137","zcta",2023,"employment_score",100.3
"75140","zcta",2023,"employment_score",89.55
"75141","zcta",2023,"employment_score",82.21
"75142","zcta",2023,"employment_score",107.38
"75143","zcta",2023,"employment_score",100.49
"75144","zcta",2023,"employment_score",91.75
"75146","zcta",2023,"employment_score",100.68
"75147","zcta",2023,"employment_score",99.49
"75148","zcta",2023,"employment_score",93.86
"75149","zcta",2023,"employment_score",96.42
"75150","zcta",2023,"employment_score",99.4
"75152","zcta",2023,"employment_score",112.93
