"geoid","geolevel","year","level","value"
"98001","zcta",2023,"employment_score",113.05
"98002","zcta",2023,"employment_score",104.58
"98003","zcta",2023,"employment_score",98.76
"98004","zcta",2023,"employment_score",160.68
"98005","zcta",2023,"employment_score",143.57
"98006","zcta",2023,"employment_score",142.51
"98007","zcta",2023,"employment_score",141.47
"98008","zcta",2023,"employment_score",138.49
"98010","zcta",2023,"employment_score",140.82
"98011","zcta",2023,"employment_score",139.78
"98012","zcta",2023,"employment_score",139.22
"98014","zcta",2023,"employment_score",136.16
"98019","zcta",2023,"employment_score",142.2
"98020","zcta",2023,"employment_score",129.87
"98021","zcta",2023,"employment_score",145.11
"98022","zcta",2023,"employment_score",121
"98023","zcta",2023,"employment_score",112.07
"98024","zcta",2023,"employment_score",135.19
"98025","zcta",2023,"employment_score",NA
"98026","zcta",2023,"employment_score",129.4
"98027","zcta",2023,"employment_score",142.01
"98028","zcta",2023,"employment_score",136.66
"98029","zcta",2023,"employment_score",154.75
"98030","zcta",2023,"employment_score",109.38
"98031","zcta",2023,"employment_score",112.85
"98032","zcta",2023,"employment_score",103.78
"98033","zcta",2023,"employment_score",149.31
"98034","zcta",2023,"employment_score",138.28
"98036","zcta",2023,"employment_score",119.5
"98037","zcta",2023,"employment_score",121.72
"98038","zcta",2023,"employment_score",132.94
"98039","zcta",2023,"employment_score",157.63
"98040","zcta",2023,"employment_score",143.86
"98042","zcta",2023,"employment_score",124.73
"98043","zcta",2023,"employment_score",123.94
"98045","zcta",2023,"employment_score",137.2
"98047","zcta",2023,"employment_score",115.85
"98050","zcta",2023,"employment_score",NA
"98051","zcta",2023,"employment_score",126.8
"98052","zcta",2023,"employment_score",156.14
"98053","zcta",2023,"employment_score",149.04
"98055","zcta",2023,"employment_score",123.16
"98056","zcta",2023,"employment_score",123.95
"98057","zcta",2023,"employment_score",111.89
"98058","zcta",2023,"employment_score",123.2
"98059","zcta",2023,"employment_score",133.1
"98065","zcta",2023,"employment_score",152.59
"98068","zcta",2023,"employment_score",127.89
"98070","zcta",2023,"employment_score",103.59
"98072","zcta",2023,"employment_score",146.9
"98074","zcta",2023,"employment_score",155.58
"98075","zcta",2023,"employment_score",158.4
"98077","zcta",2023,"employment_score",132.15
"98087","zcta",2023,"employment_score",125.02
"98092","zcta",2023,"employment_score",119.22
"98101","zcta",2023,"employment_score",157.82
"98102","zcta",2023,"employment_score",148.74
"98103","zcta",2023,"employment_score",149.99
"98104","zcta",2023,"employment_score",113.48
"98105","zcta",2023,"employment_score",104.56
"98106","zcta",2023,"employment_score",129.33
"98107","zcta",2023,"employment_score",157.45
"98108","zcta",2023,"employment_score",109.69
"98109","zcta",2023,"employment_score",164.42
"98110","zcta",2023,"employment_score",126.79
"98112","zcta",2023,"employment_score",143.81
"98115","zcta",2023,"employment_score",145.38
"98116","zcta",2023,"employment_score",146.8
"98117","zcta",2023,"employment_score",153.08
"98118","zcta",2023,"employment_score",122.21
"98119","zcta",2023,"employment_score",142.96
"98121","zcta",2023,"employment_score",166.19
"98122","zcta",2023,"employment_score",138
"98125","zcta",2023,"employment_score",129.91
"98126","zcta",2023,"employment_score",137.62
"98133","zcta",2023,"employment_score",126.45
"98134","zcta",2023,"employment_score",NA
"98136","zcta",2023,"employment_score",144.19
"98144","zcta",2023,"employment_score",132.98
"98146","zcta",2023,"employment_score",117.1
"98148","zcta",2023,"employment_score",113.84
"98154","zcta",2023,"employment_score",NA
"98155","zcta",2023,"employment_score",131.74
"98158","zcta",2023,"employment_score",NA
"98164","zcta",2023,"employment_score",200.06
"98166","zcta",2023,"employment_score",124.28
"98168","zcta",2023,"employment_score",106.43
"98174","zcta",2023,"employment_score",NA
"98177","zcta",2023,"employment_score",136.33
"98178","zcta",2023,"employment_score",113.18
"98188","zcta",2023,"employment_score",106.39
"98195","zcta",2023,"employment_score",NA
"98198","zcta",2023,"employment_score",105.99
"98199","zcta",2023,"employment_score",156.2
"98201","zcta",2023,"employment_score",110.69
"98203","zcta",2023,"employment_score",119.41
"98204","zcta",2023,"employment_score",104.48
"98207","zcta",2023,"employment_score",NA
"98208","zcta",2023,"employment_score",118.83
"98220","zcta",2023,"employment_score",126.38
"98221","zcta",2023,"employment_score",102.84
"98222","zcta",2023,"employment_score",103.21
"98223","zcta",2023,"employment_score",114.04
"98224","zcta",2023,"employment_score",117.18
"98225","zcta",2023,"employment_score",91.57
"98226","zcta",2023,"employment_score",106.87
"98229","zcta",2023,"employment_score",108.46
"98230","zcta",2023,"employment_score",104.11
"98232","zcta",2023,"employment_score",106.54
"98233","zcta",2023,"employment_score",99.98
"98235","zcta",2023,"employment_score",95.53
"98236","zcta",2023,"employment_score",108.81
"98237","zcta",2023,"employment_score",87.72
"98238","zcta",2023,"employment_score",NA
"98239","zcta",2023,"employment_score",98.77
"98240","zcta",2023,"employment_score",110.28
"98241","zcta",2023,"employment_score",100.72
"98243","zcta",2023,"employment_score",95.95
"98244","zcta",2023,"employment_score",92.94
"98245","zcta",2023,"employment_score",89.53
"98247","zcta",2023,"employment_score",99.19
"98248","zcta",2023,"employment_score",107.76
