"geoid","geolevel","year","level","value"
"24701","zcta",2023,"employment_score",77.91
"24712","zcta",2023,"employment_score",76.07
"24714","zcta",2023,"employment_score",67.92
"24715","zcta",2023,"employment_score",78.67
"24716","zcta",2023,"employment_score",69.98
"24719","zcta",2023,"employment_score",107.67
"24724","zcta",2023,"employment_score",NA
"24726","zcta",2023,"employment_score",41.28
"24729","zcta",2023,"employment_score",NA
"24731","zcta",2023,"employment_score",NA
"24733","zcta",2023,"employment_score",149.4
"24736","zcta",2023,"employment_score",90.03
"24737","zcta",2023,"employment_score",103.87
"24738","zcta",2023,"employment_score",NA
"24739","zcta",2023,"employment_score",94.52
"24740","zcta",2023,"employment_score",91.92
"24747","zcta",2023,"employment_score",81.76
"24801","zcta",2023,"employment_score",NA
"24808","zcta",2023,"employment_score",86.25
"24811","zcta",2023,"employment_score",119.34
"24813","zcta",2023,"employment_score",99.94
"24815","zcta",2023,"employment_score",38.86
"24816","zcta",2023,"employment_score",NA
"24817","zcta",2023,"employment_score",54.33
"24818","zcta",2023,"employment_score",46.96
"24822","zcta",2023,"employment_score",109.14
"24823","zcta",2023,"employment_score",77.05
"24826","zcta",2023,"employment_score",NA
"24827","zcta",2023,"employment_score",83.06
"24828","zcta",2023,"employment_score",52.59
"24830","zcta",2023,"employment_score",NA
"24831","zcta",2023,"employment_score",43.1
"24834","zcta",2023,"employment_score",102.21
"24836","zcta",2023,"employment_score",73.86
"24839","zcta",2023,"employment_score",78.46
"24843","zcta",2023,"employment_score",NA
"24844","zcta",2023,"employment_score",65.87
"24845","zcta",2023,"employment_score",53.36
"24846","zcta",2023,"employment_score",65.64
"24847","zcta",2023,"employment_score",59.95
"24848","zcta",2023,"employment_score",42.78
"24849","zcta",2023,"employment_score",53.91
"24850","zcta",2023,"employment_score",NA
"24851","zcta",2023,"employment_score",93.53
"24853","zcta",2023,"employment_score",55.9
"24854","zcta",2023,"employment_score",63.85
"24855","zcta",2023,"employment_score",NA
"24857","zcta",2023,"employment_score",67.76
"24860","zcta",2023,"employment_score",108.8
"24861","zcta",2023,"employment_score",NA
"24862","zcta",2023,"employment_score",61.26
"24866","zcta",2023,"employment_score",82.79
"24867","zcta",2023,"employment_score",NA
"24868","zcta",2023,"employment_score",25.75
"24869","zcta",2023,"employment_score",97.63
"24870","zcta",2023,"employment_score",66.18
"24871","zcta",2023,"employment_score",61.71
"24872","zcta",2023,"employment_score",64.05
"24873","zcta",2023,"employment_score",43.53
"24874","zcta",2023,"employment_score",56.06
"24878","zcta",2023,"employment_score",46.47
"24879","zcta",2023,"employment_score",52.06
"24880","zcta",2023,"employment_score",35.07
"24881","zcta",2023,"employment_score",105.18
"24882","zcta",2023,"employment_score",86.67
"24884","zcta",2023,"employment_score",-0.29
"24887","zcta",2023,"employment_score",NA
"24888","zcta",2023,"employment_score",79.67
"24892","zcta",2023,"employment_score",45.44
"24894","zcta",2023,"employment_score",41.84
"24895","zcta",2023,"employment_score",NA
"24898","zcta",2023,"employment_score",62.2
"24901","zcta",2023,"employment_score",91.72
"24910","zcta",2023,"employment_score",83.96
"24915","zcta",2023,"employment_score",59.73
"24916","zcta",2023,"employment_score",99.27
"24918","zcta",2023,"employment_score",96.44
"24920","zcta",2023,"employment_score",75.34
"24924","zcta",2023,"employment_score",35.12
"24925","zcta",2023,"employment_score",95.69
"24927","zcta",2023,"employment_score",63.59
"24931","zcta",2023,"employment_score",88.28
"24934","zcta",2023,"employment_score",44.48
"24935","zcta",2023,"employment_score",86.9
"24938","zcta",2023,"employment_score",93.29
"24941","zcta",2023,"employment_score",85.27
"24943","zcta",2023,"employment_score",112.28
"24944","zcta",2023,"employment_score",98.58
"24945","zcta",2023,"employment_score",3.52
"24946","zcta",2023,"employment_score",73.12
"24951","zcta",2023,"employment_score",111.08
"24954","zcta",2023,"employment_score",61.06
"24957","zcta",2023,"employment_score",108.38
"24962","zcta",2023,"employment_score",NA
"24963","zcta",2023,"employment_score",74.08
"24966","zcta",2023,"employment_score",98.48
"24970","zcta",2023,"employment_score",87.39
"24974","zcta",2023,"employment_score",52.13
"24976","zcta",2023,"employment_score",85.46
"24977","zcta",2023,"employment_score",122.72
"24981","zcta",2023,"employment_score",122.38
"24983","zcta",2023,"employment_score",82.1
"24984","zcta",2023,"employment_score",82.51
"24985","zcta",2023,"employment_score",128.57
"24986","zcta",2023,"employment_score",84.3
"24991","zcta",2023,"employment_score",76.1
"24993","zcta",2023,"employment_score",NA
"25002","zcta",2023,"employment_score",NA
"25003","zcta",2023,"employment_score",89.89
"25005","zcta",2023,"employment_score",95.27
"25007","zcta",2023,"employment_score",83.36
"25008","zcta",2023,"employment_score",128.06
"25009","zcta",2023,"employment_score",93.28
"25011","zcta",2023,"employment_score",118.01
"25015","zcta",2023,"employment_score",94.38
"25019","zcta",2023,"employment_score",26.78
"25021","zcta",2023,"employment_score",72.57
"25022","zcta",2023,"employment_score",NA
"25024","zcta",2023,"employment_score",54.24
"25025","zcta",2023,"employment_score",105.78
"25028","zcta",2023,"employment_score",60.21
"25030","zcta",2023,"employment_score",92.37
"25031","zcta",2023,"employment_score",86.36
"25033","zcta",2023,"employment_score",104.04
"25035","zcta",2023,"employment_score",113.3
"25036","zcta",2023,"employment_score",123.35
"25039","zcta",2023,"employment_score",79.44
"25040","zcta",2023,"employment_score",84.31
"25043","zcta",2023,"employment_score",56.99
"25044","zcta",2023,"employment_score",86.45
"25045","zcta",2023,"employment_score",87.55
"25047","zcta",2023,"employment_score",7.29
"25048","zcta",2023,"employment_score",49.71
"25049","zcta",2023,"employment_score",86.23
"25051","zcta",2023,"employment_score",40.22
"25053","zcta",2023,"employment_score",80.95
"25054","zcta",2023,"employment_score",114.17
"25057","zcta",2023,"employment_score",NA
"25059","zcta",2023,"employment_score",88.46
"25060","zcta",2023,"employment_score",NA
"25061","zcta",2023,"employment_score",96.57
"25062","zcta",2023,"employment_score",91.83
"25063","zcta",2023,"employment_score",74.09
"25064","zcta",2023,"employment_score",88.43
"25067","zcta",2023,"employment_score",99.15
"25070","zcta",2023,"employment_score",114.05
"25071","zcta",2023,"employment_score",98.83
"25075","zcta",2023,"employment_score",51.08
"25076","zcta",2023,"employment_score",NA
"25081","zcta",2023,"employment_score",112.8
"25082","zcta",2023,"employment_score",116.4
"25083","zcta",2023,"employment_score",68.98
"25085","zcta",2023,"employment_score",85.95
"25086","zcta",2023,"employment_score",83.57
"25088","zcta",2023,"employment_score",90.8
"25090","zcta",2023,"employment_score",NA
"25093","zcta",2023,"employment_score",91.62
"25102","zcta",2023,"employment_score",95.21
"25103","zcta",2023,"employment_score",96.65
"25106","zcta",2023,"employment_score",97.85
"25107","zcta",2023,"employment_score",110.85
"25108","zcta",2023,"employment_score",80.8
"25109","zcta",2023,"employment_score",85.33
"25110","zcta",2023,"employment_score",114.98
"25111","zcta",2023,"employment_score",92.11
"25112","zcta",2023,"employment_score",NA
"25113","zcta",2023,"employment_score",63.27
"25114","zcta",2023,"employment_score",60.18
"25115","zcta",2023,"employment_score",NA
"25118","zcta",2023,"employment_score",35.35
"25119","zcta",2023,"employment_score",52.48
"25121","zcta",2023,"employment_score",74.91
"25123","zcta",2023,"employment_score",96.46
"25124","zcta",2023,"employment_score",97.01
